scale,site,calendar_date,pixel,value
1e-4,AIG,2001-01-01,41,4208
1e-4,AIG,2001-01-17,41,3988
1e-4,AIG,2001-02-02,41,3077
1e-4,AIG,2001-02-18,41,2905
1e-4,AIG,2001-03-06,41,2778
1e-4,AIG,2001-03-22,41,3708
1e-4,AIG,2001-04-07,41,3984
1e-4,AIG,2001-04-23,41,8760
1e-4,AIG,2001-05-09,41,4290
1e-4,AIG,2001-05-25,41,5532
1e-4,AIG,2001-06-10,41,5183
1e-4,AIG,2001-06-26,41,6940
1e-4,AIG,2001-07-12,41,6406
1e-4,AIG,2001-07-28,41,7107
1e-4,AIG,2001-08-13,41,6409
1e-4,AIG,2001-08-29,41,5699
1e-4,AIG,2001-09-14,41,4395
1e-4,AIG,2001-09-30,41,5507
1e-4,AIG,2001-10-16,41,6914
1e-4,AIG,2001-11-01,41,7747
1e-4,AIG,2001-11-17,41,5773
1e-4,AIG,2001-12-03,41,6140
1e-4,AIG,2001-12-19,41,2583
1e-4,AIG,2002-01-01,41,1754
1e-4,AIG,2002-01-17,41,3993
1e-4,AIG,2002-02-02,41,4006
1e-4,AIG,2002-02-18,41,4891
1e-4,AIG,2002-03-06,41,4887
1e-4,AIG,2002-03-22,41,6959
1e-4,AIG,2002-04-07,41,8029
1e-4,AIG,2002-04-23,41,4428
1e-4,AIG,2002-05-09,41,4986
1e-4,AIG,2002-05-25,41,5623
1e-4,AIG,2002-06-10,41,5360
1e-4,AIG,2002-06-26,41,6963
1e-4,AIG,2002-07-12,41,6913
1e-4,AIG,2002-07-28,41,5573
1e-4,AIG,2002-08-13,41,6414
1e-4,AIG,2002-08-29,41,5835
1e-4,AIG,2002-09-14,41,7190
1e-4,AIG,2002-09-30,41,5156
1e-4,AIG,2002-10-16,41,5870
1e-4,AIG,2002-11-01,41,4565
1e-4,AIG,2002-11-17,41,4126
1e-4,AIG,2002-12-03,41,4527
1e-4,AIG,2002-12-19,41,4293
1e-4,AIG,2003-01-01,41,1032
