scale,site,calendar_date,pixel,value
1e-4,CGI,2001-01-01,41,5695
1e-4,CGI,2001-01-17,41,5159
1e-4,CGI,2001-02-02,41,4469
1e-4,CGI,2001-02-18,41,5007
1e-4,CGI,2001-03-06,41,7253
1e-4,CGI,2001-03-22,41,6185
1e-4,CGI,2001-04-07,41,4154
1e-4,CGI,2001-04-23,41,6166
1e-4,CGI,2001-05-09,41,4679
1e-4,CGI,2001-05-25,41,6126
1e-4,CGI,2001-06-10,41,6749
1e-4,CGI,2001-06-26,41,6543
1e-4,CGI,2001-07-12,41,6511
1e-4,CGI,2001-07-28,41,7449
1e-4,CGI,2001-08-13,41,6830
1e-4,CGI,2001-08-29,41,6541
1e-4,CGI,2001-09-14,41,6610
1e-4,CGI,2001-09-30,41,6691
1e-4,CGI,2001-10-16,41,6829
1e-4,CGI,2001-11-01,41,5923
1e-4,CGI,2001-11-17,41,5081
1e-4,CGI,2001-12-03,41,3942
1e-4,CGI,2001-12-19,41,4446
1e-4,CGI,2002-01-01,41,4446
1e-4,CGI,2002-01-17,41,4006
1e-4,CGI,2002-02-02,41,4626
1e-4,CGI,2002-02-18,41,4743
1e-4,CGI,2002-03-06,41,4395
1e-4,CGI,2002-03-22,41,5052
1e-4,CGI,2002-04-07,41,5688
1e-4,CGI,2002-04-23,41,6559
1e-4,CGI,2002-05-09,41,7015
1e-4,CGI,2002-05-25,41,7176
1e-4,CGI,2002-06-10,41,6222
1e-4,CGI,2002-06-26,41,6254
1e-4,CGI,2002-07-12,41,5546
1e-4,CGI,2002-07-28,41,6630
1e-4,CGI,2002-08-13,41,6241
1e-4,CGI,2002-08-29,41,6951
1e-4,CGI,2002-09-14,41,6444
1e-4,CGI,2002-09-30,41,6563
1e-4,CGI,2002-10-16,41,6890
1e-4,CGI,2002-11-01,41,6330
1e-4,CGI,2002-11-17,41,5417
1e-4,CGI,2002-12-03,41,1436
1e-4,CGI,2002-12-19,41,2229
1e-4,CGI,2003-01-01,41,6227
1e-4,CGI,2003-01-17,41,5761
1e-4,CGI,2003-02-02,41,1135
1e-4,CGI,2003-02-18,41,4072
1e-4,CGI,2003-03-06,41,3715
1e-4,CGI,2003-03-22,41,6386
1e-4,CGI,2003-04-07,41,6810
1e-4,CGI,2003-04-23,41,6982
1e-4,CGI,2003-05-09,41,7710
1e-4,CGI,2003-05-25,41,7630
1e-4,CGI,2003-06-10,41,6001
1e-4,CGI,2003-06-26,41,4402
1e-4,CGI,2003-07-12,41,4413
1e-4,CGI,2003-07-28,41,3839
1e-4,CGI,2003-08-13,41,3751
1e-4,CGI,2003-08-29,41,3977
1e-4,CGI,2003-09-14,41,4945
1e-4,CGI,2003-09-30,41,7576
1e-4,CGI,2003-10-16,41,5299
1e-4,CGI,2003-11-01,41,5929
1e-4,CGI,2003-11-17,41,5572
1e-4,CGI,2003-12-03,41,6343
1e-4,CGI,2003-12-19,41,6087
1e-4,CGI,2004-01-01,41,3208
1e-4,CGI,2004-01-17,41,85
1e-4,CGI,2004-02-02,41,5330
1e-4,CGI,2004-02-18,41,5128
1e-4,CGI,2004-03-05,41,3856
1e-4,CGI,2004-03-21,41,4982
1e-4,CGI,2004-04-06,41,6097
1e-4,CGI,2004-04-22,41,5747
1e-4,CGI,2004-05-08,41,6553
1e-4,CGI,2004-05-24,41,6155
1e-4,CGI,2004-06-09,41,6130
1e-4,CGI,2004-06-25,41,5554
1e-4,CGI,2004-07-11,41,4213
1e-4,CGI,2004-07-27,41,4324
1e-4,CGI,2004-08-12,41,6924
1e-4,CGI,2004-08-28,41,5993
1e-4,CGI,2004-09-13,41,6301
1e-4,CGI,2004-09-29,41,6288
1e-4,CGI,2004-10-15,41,6653
1e-4,CGI,2004-10-31,41,7569
1e-4,CGI,2004-11-16,41,5395
1e-4,CGI,2004-12-02,41,1396
1e-4,CGI,2004-12-18,41,4864
1e-4,CGI,2005-01-01,41,4824
1e-4,CGI,2005-01-17,41,386
1e-4,CGI,2005-02-02,41,4427
1e-4,CGI,2005-02-18,41,4146
1e-4,CGI,2005-03-06,41,4428
1e-4,CGI,2005-03-22,41,6775
1e-4,CGI,2005-04-07,41,6665
1e-4,CGI,2005-04-23,41,6181
1e-4,CGI,2005-05-09,41,6900
1e-4,CGI,2005-05-25,41,6219
1e-4,CGI,2005-06-10,41,6930
1e-4,CGI,2005-06-26,41,7204
1e-4,CGI,2005-07-12,41,6863
1e-4,CGI,2005-07-28,41,6857
1e-4,CGI,2005-08-13,41,6015
1e-4,CGI,2005-08-29,41,5933
1e-4,CGI,2005-09-14,41,5630
1e-4,CGI,2005-09-30,41,5538
1e-4,CGI,2005-10-16,41,6427
1e-4,CGI,2005-11-01,41,6427
1e-4,CGI,2005-11-17,41,6067
1e-4,CGI,2005-12-03,41,5653
1e-4,CGI,2005-12-19,41,5633
