scale,site,calendar_date,pixel,value
1e-4,EBK,2001-01-01,41,809
1e-4,EBK,2001-01-17,41,6864
1e-4,EBK,2001-02-02,41,5420
1e-4,EBK,2001-02-18,41,5101
1e-4,EBK,2001-03-06,41,7208
1e-4,EBK,2001-03-22,41,7248
1e-4,EBK,2001-04-07,41,1066
1e-4,EBK,2001-04-23,41,7974
1e-4,EBK,2001-05-09,41,7992
1e-4,EBK,2001-05-25,41,6733
1e-4,EBK,2001-06-10,41,6888
1e-4,EBK,2001-06-26,41,7837
1e-4,EBK,2001-07-12,41,7554
1e-4,EBK,2001-07-28,41,8176
1e-4,EBK,2001-08-13,41,8106
1e-4,EBK,2001-08-29,41,8036
1e-4,EBK,2001-09-14,41,7852
1e-4,EBK,2001-09-30,41,7771
1e-4,EBK,2001-10-16,41,6923
1e-4,EBK,2001-11-01,41,7132
1e-4,EBK,2001-11-17,41,6280
1e-4,EBK,2001-12-03,41,217
1e-4,EBK,2001-12-19,41,-60
1e-4,EBK,2002-01-01,41,218
1e-4,EBK,2002-01-17,41,-34
1e-4,EBK,2002-02-02,41,6080
1e-4,EBK,2002-02-18,41,6083
1e-4,EBK,2002-03-06,41,6420
1e-4,EBK,2002-03-22,41,7187
1e-4,EBK,2002-04-07,41,8428
1e-4,EBK,2002-04-23,41,7647
1e-4,EBK,2002-05-09,41,6937
1e-4,EBK,2002-05-25,41,6845
1e-4,EBK,2002-06-10,41,8171
1e-4,EBK,2002-06-26,41,7927
1e-4,EBK,2002-07-12,41,7948
1e-4,EBK,2002-07-28,41,8240
1e-4,EBK,2002-08-13,41,7573
1e-4,EBK,2002-08-29,41,8335
1e-4,EBK,2002-09-14,41,8036
1e-4,EBK,2002-09-30,41,7302
1e-4,EBK,2002-10-16,41,7959
1e-4,EBK,2002-11-01,41,7541
1e-4,EBK,2002-11-17,41,7191
1e-4,EBK,2002-12-03,41,632
1e-4,EBK,2002-12-19,41,6982
1e-4,EBK,2003-01-01,41,6982
1e-4,EBK,2003-01-17,41,2216
1e-4,EBK,2003-02-02,41,-30
1e-4,EBK,2003-02-18,41,-138
1e-4,EBK,2003-03-06,41,1678
1e-4,EBK,2003-03-22,41,6710
1e-4,EBK,2003-04-07,41,7198
1e-4,EBK,2003-04-23,41,8192
1e-4,EBK,2003-05-09,41,7352
1e-4,EBK,2003-05-25,41,7436
1e-4,EBK,2003-06-10,41,7411
1e-4,EBK,2003-06-26,41,7901
1e-4,EBK,2003-07-12,41,7641
1e-4,EBK,2003-07-28,41,8013
1e-4,EBK,2003-08-13,41,7500
1e-4,EBK,2003-08-29,41,7836
1e-4,EBK,2003-09-14,41,7902
1e-4,EBK,2003-09-30,41,8208
1e-4,EBK,2003-10-16,41,7234
1e-4,EBK,2003-11-01,41,6944
1e-4,EBK,2003-11-17,41,6752
1e-4,EBK,2003-12-03,41,6895
1e-4,EBK,2003-12-19,41,85
1e-4,EBK,2004-01-01,41,619
1e-4,EBK,2004-01-17,41,-34
1e-4,EBK,2004-02-02,41,41
1e-4,EBK,2004-02-18,41,103
1e-4,EBK,2004-03-05,41,305
1e-4,EBK,2004-03-21,41,-92
1e-4,EBK,2004-04-06,41,7870
1e-4,EBK,2004-04-22,41,7063
1e-4,EBK,2004-05-08,41,7131
1e-4,EBK,2004-05-24,41,7117
1e-4,EBK,2004-06-09,41,6629
1e-4,EBK,2004-06-25,41,7428
1e-4,EBK,2004-07-11,41,8345
1e-4,EBK,2004-07-27,41,7928
1e-4,EBK,2004-08-12,41,8013
1e-4,EBK,2004-08-28,41,7979
1e-4,EBK,2004-09-13,41,7976
1e-4,EBK,2004-09-29,41,8007
1e-4,EBK,2004-10-15,41,7662
1e-4,EBK,2004-10-31,41,7470
1e-4,EBK,2004-11-16,41,5729
1e-4,EBK,2004-12-02,41,7219
1e-4,EBK,2004-12-18,41,4
1e-4,EBK,2005-01-01,41,229
1e-4,EBK,2005-01-17,41,2
1e-4,EBK,2005-02-02,41,33
1e-4,EBK,2005-02-18,41,36
1e-4,EBK,2005-03-06,41,295
1e-4,EBK,2005-03-22,41,7268
1e-4,EBK,2005-04-07,41,6765
1e-4,EBK,2005-04-23,41,7044
1e-4,EBK,2005-05-09,41,7477
1e-4,EBK,2005-05-25,41,6761
1e-4,EBK,2005-06-10,41,7327
1e-4,EBK,2005-06-26,41,7618
1e-4,EBK,2005-07-12,41,7838
1e-4,EBK,2005-07-28,41,7623
1e-4,EBK,2005-08-13,41,8076
1e-4,EBK,2005-08-29,41,7742
1e-4,EBK,2005-09-14,41,8185
1e-4,EBK,2005-09-30,41,7948
1e-4,EBK,2005-10-16,41,7648
1e-4,EBK,2005-11-01,41,7510
1e-4,EBK,2005-11-17,41,6446
1e-4,EBK,2005-12-03,41,246
1e-4,EBK,2005-12-19,41,105
1e-4,EBK,2006-01-01,41,-38
1e-4,EBK,2006-01-17,41,128
1e-4,EBK,2006-02-02,41,-28
1e-4,EBK,2006-02-18,41,-71
1e-4,EBK,2006-03-06,41,122
1e-4,EBK,2006-03-22,41,396
1e-4,EBK,2006-04-07,41,6423
1e-4,EBK,2006-04-23,41,7394
1e-4,EBK,2006-05-09,41,7614
1e-4,EBK,2006-05-25,41,7525
1e-4,EBK,2006-06-10,41,6371
1e-4,EBK,2006-06-26,41,8161
1e-4,EBK,2006-07-12,41,7185
1e-4,EBK,2006-07-28,41,6933
1e-4,EBK,2006-08-13,41,8011
1e-4,EBK,2006-08-29,41,8424
1e-4,EBK,2006-09-14,41,8123
1e-4,EBK,2006-09-30,41,8451
1e-4,EBK,2006-10-16,41,7101
1e-4,EBK,2006-11-01,41,7236
1e-4,EBK,2006-11-17,41,7051
1e-4,EBK,2006-12-03,41,933
1e-4,EBK,2006-12-19,41,6699
1e-4,EBK,2007-01-01,41,7077
1e-4,EBK,2007-01-17,41,2438
1e-4,EBK,2007-02-02,41,5883
1e-4,EBK,2007-02-18,41,6731
1e-4,EBK,2007-03-06,41,5206
1e-4,EBK,2007-03-22,41,1031
1e-4,EBK,2007-04-07,41,8361
1e-4,EBK,2007-04-23,41,7249
1e-4,EBK,2007-05-09,41,8033
1e-4,EBK,2007-05-25,41,7552
1e-4,EBK,2007-06-10,41,7876
1e-4,EBK,2007-06-26,41,7117
1e-4,EBK,2007-07-12,41,7836
1e-4,EBK,2007-07-28,41,8041
1e-4,EBK,2007-08-13,41,7709
1e-4,EBK,2007-08-29,41,7869
1e-4,EBK,2007-09-14,41,7898
1e-4,EBK,2007-09-30,41,7672
1e-4,EBK,2007-10-16,41,7253
1e-4,EBK,2007-11-01,41,6835
1e-4,EBK,2007-11-17,41,6332
1e-4,EBK,2007-12-03,41,-31
1e-4,EBK,2007-12-19,41,249
1e-4,EBK,2008-01-01,41,148
1e-4,EBK,2008-01-17,41,5637
1e-4,EBK,2008-02-02,41,54
1e-4,EBK,2008-02-18,41,4641
1e-4,EBK,2008-03-05,41,5246
1e-4,EBK,2008-03-21,41,6
1e-4,EBK,2008-04-06,41,7094
1e-4,EBK,2008-04-22,41,8217
1e-4,EBK,2008-05-08,41,7927
1e-4,EBK,2008-05-24,41,7371
1e-4,EBK,2008-06-09,41,7238
1e-4,EBK,2008-06-25,41,7715
1e-4,EBK,2008-07-11,41,7915
1e-4,EBK,2008-07-27,41,7971
1e-4,EBK,2008-08-12,41,7534
1e-4,EBK,2008-08-28,41,7884
1e-4,EBK,2008-09-13,41,7739
1e-4,EBK,2008-09-29,41,7645
1e-4,EBK,2008-10-15,41,7719
1e-4,EBK,2008-10-31,41,7507
1e-4,EBK,2008-11-16,41,-176
1e-4,EBK,2008-12-02,41,-215
1e-4,EBK,2008-12-18,41,265
1e-4,EBK,2009-01-01,41,28
1e-4,EBK,2009-01-17,41,767
1e-4,EBK,2009-02-02,41,1680
1e-4,EBK,2009-02-18,41,-448
1e-4,EBK,2009-03-06,41,191
1e-4,EBK,2009-03-22,41,5256
1e-4,EBK,2009-04-07,41,7264
1e-4,EBK,2009-04-23,41,7874
1e-4,EBK,2009-05-09,41,7794
1e-4,EBK,2009-05-25,41,7195
1e-4,EBK,2009-06-10,41,8320
1e-4,EBK,2009-06-26,41,6554
1e-4,EBK,2009-07-12,41,7812
1e-4,EBK,2009-07-28,41,8019
1e-4,EBK,2009-08-13,41,8245
1e-4,EBK,2009-08-29,41,8211
1e-4,EBK,2009-09-14,41,8104
1e-4,EBK,2009-09-30,41,7919
1e-4,EBK,2009-10-16,41,7049
1e-4,EBK,2009-11-01,41,7218
1e-4,EBK,2009-11-17,41,7404
1e-4,EBK,2009-12-03,41,2587
1e-4,EBK,2009-12-19,41,27
1e-4,EBK,2010-01-01,41,227
1e-4,EBK,2010-01-17,41,12
1e-4,EBK,2010-02-02,41,154
1e-4,EBK,2010-02-18,41,196
1e-4,EBK,2010-03-06,41,467
1e-4,EBK,2010-03-22,41,5679
1e-4,EBK,2010-04-07,41,7389
1e-4,EBK,2010-04-23,41,7801
1e-4,EBK,2010-05-09,41,7341
1e-4,EBK,2010-05-25,41,7598
1e-4,EBK,2010-06-10,41,8197
1e-4,EBK,2010-06-26,41,7689
1e-4,EBK,2010-07-12,41,7947
1e-4,EBK,2010-07-28,41,7915
1e-4,EBK,2010-08-13,41,7786
1e-4,EBK,2010-08-29,41,7766
1e-4,EBK,2010-09-14,41,8061
1e-4,EBK,2010-09-30,41,7929
1e-4,EBK,2010-10-16,41,7382
1e-4,EBK,2010-11-01,41,7071
1e-4,EBK,2010-11-17,41,5689
1e-4,EBK,2010-12-03,41,101
1e-4,EBK,2010-12-19,41,-153
1e-4,EBK,2011-01-01,41,5505
1e-4,EBK,2011-01-17,41,5634
1e-4,EBK,2011-02-02,41,3687
1e-4,EBK,2011-02-18,41,328
1e-4,EBK,2011-03-06,41,5556
1e-4,EBK,2011-03-22,41,8046
1e-4,EBK,2011-04-07,41,7834
1e-4,EBK,2011-04-23,41,7737
1e-4,EBK,2011-05-09,41,7651
1e-4,EBK,2011-05-25,41,7192
1e-4,EBK,2011-06-10,41,8012
1e-4,EBK,2011-06-26,41,7474
1e-4,EBK,2011-07-12,41,7443
1e-4,EBK,2011-07-28,41,8339
1e-4,EBK,2011-08-13,41,8017
1e-4,EBK,2011-08-29,41,8490
1e-4,EBK,2011-09-14,41,8202
1e-4,EBK,2011-09-30,41,7293
1e-4,EBK,2011-10-16,41,8012
1e-4,EBK,2011-11-01,41,7286
1e-4,EBK,2011-11-17,41,6472
1e-4,EBK,2011-12-03,41,3409
1e-4,EBK,2011-12-19,41,399
1e-4,EBK,2012-01-01,41,1476
1e-4,EBK,2012-01-17,41,1334
1e-4,EBK,2012-02-02,41,-196
1e-4,EBK,2012-02-18,41,11
1e-4,EBK,2012-03-05,41,4164
1e-4,EBK,2012-03-21,41,6791
1e-4,EBK,2012-04-06,41,6183
1e-4,EBK,2012-04-22,41,8326
1e-4,EBK,2012-05-08,41,7921
1e-4,EBK,2012-05-24,41,7789
1e-4,EBK,2012-06-09,41,7710
1e-4,EBK,2012-06-25,41,8550
1e-4,EBK,2012-07-11,41,8590
1e-4,EBK,2012-07-27,41,8162
1e-4,EBK,2012-08-12,41,8411
1e-4,EBK,2012-08-28,41,7350
1e-4,EBK,2012-09-13,41,8280
1e-4,EBK,2012-09-29,41,7584
1e-4,EBK,2012-10-15,41,7860
1e-4,EBK,2012-10-31,41,7543
1e-4,EBK,2012-11-16,41,6885
1e-4,EBK,2012-12-02,41,85
1e-4,EBK,2012-12-18,41,-548
1e-4,EBK,2013-01-01,41,1965
1e-4,EBK,2013-01-17,41,144
1e-4,EBK,2013-02-02,41,-113
1e-4,EBK,2013-02-18,41,-326
1e-4,EBK,2013-03-06,41,270
1e-4,EBK,2013-03-22,41,6684
1e-4,EBK,2013-04-07,41,5770
