scale,site,calendar_date,pixel,value
1e-4,GUT,2001-01-01,41,6728
1e-4,GUT,2001-01-17,41,3928
1e-4,GUT,2001-02-02,41,5927
1e-4,GUT,2001-02-18,41,5936
1e-4,GUT,2001-03-06,41,6608
1e-4,GUT,2001-03-22,41,7351
1e-4,GUT,2001-04-07,41,5717
1e-4,GUT,2001-04-23,41,6946
1e-4,GUT,2001-05-09,41,6680
1e-4,GUT,2001-05-25,41,7421
1e-4,GUT,2001-06-10,41,7109
1e-4,GUT,2001-06-26,41,7204
1e-4,GUT,2001-07-12,41,7242
1e-4,GUT,2001-07-28,41,7540
1e-4,GUT,2001-08-13,41,7507
1e-4,GUT,2001-08-29,41,7554
1e-4,GUT,2001-09-14,41,6321
1e-4,GUT,2001-09-30,41,7717
1e-4,GUT,2001-10-16,41,7408
1e-4,GUT,2001-11-01,41,7415
1e-4,GUT,2001-11-17,41,3904
1e-4,GUT,2001-12-03,41,1799
1e-4,GUT,2001-12-19,41,935
1e-4,GUT,2002-01-01,41,717
1e-4,GUT,2002-01-17,41,5530
1e-4,GUT,2002-02-02,41,5159
1e-4,GUT,2002-02-18,41,6501
1e-4,GUT,2002-03-06,41,6216
1e-4,GUT,2002-03-22,41,6681
1e-4,GUT,2002-04-07,41,5803
1e-4,GUT,2002-04-23,41,6956
1e-4,GUT,2002-05-09,41,6344
1e-4,GUT,2002-05-25,41,6952
1e-4,GUT,2002-06-10,41,7015
1e-4,GUT,2002-06-26,41,7657
1e-4,GUT,2002-07-12,41,7049
1e-4,GUT,2002-07-28,41,7014
1e-4,GUT,2002-08-13,41,6611
1e-4,GUT,2002-08-29,41,7670
1e-4,GUT,2002-09-14,41,6953
1e-4,GUT,2002-09-30,41,6188
1e-4,GUT,2002-10-16,41,6796
1e-4,GUT,2002-11-01,41,6893
1e-4,GUT,2002-11-17,41,6600
1e-4,GUT,2002-12-03,41,417
1e-4,GUT,2002-12-19,41,5295
1e-4,GUT,2003-01-01,41,5295
1e-4,GUT,2003-01-17,41,6659
1e-4,GUT,2003-02-02,41,20
1e-4,GUT,2003-02-18,41,1913
1e-4,GUT,2003-03-06,41,5692
1e-4,GUT,2003-03-22,41,5008
1e-4,GUT,2003-04-07,41,6732
1e-4,GUT,2003-04-23,41,6354
1e-4,GUT,2003-05-09,41,5954
1e-4,GUT,2003-05-25,41,6261
1e-4,GUT,2003-06-10,41,7561
1e-4,GUT,2003-06-26,41,6897
1e-4,GUT,2003-07-12,41,7341
1e-4,GUT,2003-07-28,41,6949
1e-4,GUT,2003-08-13,41,6584
1e-4,GUT,2003-08-29,41,6580
1e-4,GUT,2003-09-14,41,6671
1e-4,GUT,2003-09-30,41,7458
1e-4,GUT,2003-10-16,41,7589
1e-4,GUT,2003-11-01,41,6439
1e-4,GUT,2003-11-17,41,5849
1e-4,GUT,2003-12-03,41,6908
1e-4,GUT,2003-12-19,41,1376
1e-4,GUT,2004-01-01,41,6054
1e-4,GUT,2004-01-17,41,149
1e-4,GUT,2004-02-02,41,5478
1e-4,GUT,2004-02-18,41,5498
