scale,site,calendar_date,pixel,value
1e-4,GVE,2001-01-01,41,2945
1e-4,GVE,2001-01-17,41,3999
1e-4,GVE,2001-02-02,41,2937
1e-4,GVE,2001-02-18,41,4163
1e-4,GVE,2001-03-06,41,3803
1e-4,GVE,2001-03-22,41,4616
1e-4,GVE,2001-04-07,41,5524
1e-4,GVE,2001-04-23,41,6097
1e-4,GVE,2001-05-09,41,6529
1e-4,GVE,2001-05-25,41,7339
1e-4,GVE,2001-06-10,41,5951
1e-4,GVE,2001-06-26,41,6914
1e-4,GVE,2001-07-12,41,5662
1e-4,GVE,2001-07-28,41,6682
1e-4,GVE,2001-08-13,41,6345
1e-4,GVE,2001-08-29,41,5744
1e-4,GVE,2001-09-14,41,5157
1e-4,GVE,2001-09-30,41,6308
1e-4,GVE,2001-10-16,41,5433
1e-4,GVE,2001-11-01,41,4289
1e-4,GVE,2001-11-17,41,4037
1e-4,GVE,2001-12-03,41,3641
1e-4,GVE,2001-12-19,41,3960
1e-4,GVE,2002-01-01,41,3960
1e-4,GVE,2002-01-17,41,4522
1e-4,GVE,2002-02-02,41,4105
1e-4,GVE,2002-02-18,41,2818
1e-4,GVE,2002-03-06,41,3994
1e-4,GVE,2002-03-22,41,4265
1e-4,GVE,2002-04-07,41,5401
1e-4,GVE,2002-04-23,41,5711
1e-4,GVE,2002-05-09,41,6968
1e-4,GVE,2002-05-25,41,5809
1e-4,GVE,2002-06-10,41,6481
1e-4,GVE,2002-06-26,41,6344
1e-4,GVE,2002-07-12,41,6834
1e-4,GVE,2002-07-28,41,7185
1e-4,GVE,2002-08-13,41,5590
1e-4,GVE,2002-08-29,41,6018
1e-4,GVE,2002-09-14,41,6544
1e-4,GVE,2002-09-30,41,6366
1e-4,GVE,2002-10-16,41,5257
1e-4,GVE,2002-11-01,41,5281
1e-4,GVE,2002-11-17,41,4593
1e-4,GVE,2002-12-03,41,939
1e-4,GVE,2002-12-19,41,1388
1e-4,GVE,2003-01-01,41,3670
1e-4,GVE,2003-01-17,41,4525
1e-4,GVE,2003-02-02,41,3312
1e-4,GVE,2003-02-18,41,3763
1e-4,GVE,2003-03-06,41,3657
1e-4,GVE,2003-03-22,41,3995
1e-4,GVE,2003-04-07,41,5552
1e-4,GVE,2003-04-23,41,5069
1e-4,GVE,2003-05-09,41,6979
1e-4,GVE,2003-05-25,41,7101
1e-4,GVE,2003-06-10,41,5270
1e-4,GVE,2003-06-26,41,4507
1e-4,GVE,2003-07-12,41,4702
1e-4,GVE,2003-07-28,41,4431
1e-4,GVE,2003-08-13,41,5292
1e-4,GVE,2003-08-29,41,6259
1e-4,GVE,2003-09-14,41,5798
1e-4,GVE,2003-09-30,41,6516
1e-4,GVE,2003-10-16,41,6702
1e-4,GVE,2003-11-01,41,5709
1e-4,GVE,2003-11-17,41,4763
1e-4,GVE,2003-12-03,41,4532
1e-4,GVE,2003-12-19,41,4684
1e-4,GVE,2004-01-01,41,2908
1e-4,GVE,2004-01-17,41,4497
1e-4,GVE,2004-02-02,41,3671
1e-4,GVE,2004-02-18,41,4628
1e-4,GVE,2004-03-05,41,3168
1e-4,GVE,2004-03-21,41,3972
1e-4,GVE,2004-04-06,41,5136
1e-4,GVE,2004-04-22,41,5517
1e-4,GVE,2004-05-08,41,6565
1e-4,GVE,2004-05-24,41,6697
1e-4,GVE,2004-06-09,41,6183
1e-4,GVE,2004-06-25,41,6159
1e-4,GVE,2004-07-11,41,6651
1e-4,GVE,2004-07-27,41,4736
1e-4,GVE,2004-08-12,41,5442
1e-4,GVE,2004-08-28,41,6115
1e-4,GVE,2004-09-13,41,6342
1e-4,GVE,2004-09-29,41,5270
1e-4,GVE,2004-10-15,41,6614
1e-4,GVE,2004-10-31,41,5043
1e-4,GVE,2004-11-16,41,3891
1e-4,GVE,2004-12-02,41,777
1e-4,GVE,2004-12-18,41,3052
1e-4,GVE,2005-01-01,41,3676
1e-4,GVE,2005-01-17,41,193
1e-4,GVE,2005-02-02,41,725
1e-4,GVE,2005-02-18,41,3278
1e-4,GVE,2005-03-06,41,2828
1e-4,GVE,2005-03-22,41,4452
1e-4,GVE,2005-04-07,41,4961
1e-4,GVE,2005-04-23,41,5275
1e-4,GVE,2005-05-09,41,5995
1e-4,GVE,2005-05-25,41,5439
1e-4,GVE,2005-06-10,41,5751
1e-4,GVE,2005-06-26,41,5162
1e-4,GVE,2005-07-12,41,5759
1e-4,GVE,2005-07-28,41,5837
1e-4,GVE,2005-08-13,41,4968
1e-4,GVE,2005-08-29,41,6378
1e-4,GVE,2005-09-14,41,5184
1e-4,GVE,2005-09-30,41,4743
1e-4,GVE,2005-10-16,41,4516
1e-4,GVE,2005-11-01,41,4716
1e-4,GVE,2005-11-17,41,3613
1e-4,GVE,2005-12-03,41,3999
1e-4,GVE,2005-12-19,41,3743
1e-4,GVE,2006-01-01,41,3460
1e-4,GVE,2006-01-17,41,3546
1e-4,GVE,2006-02-02,41,3363
1e-4,GVE,2006-02-18,41,2857
1e-4,GVE,2006-03-06,41,3363
1e-4,GVE,2006-03-22,41,2701
1e-4,GVE,2006-04-07,41,4689
1e-4,GVE,2006-04-23,41,5695
1e-4,GVE,2006-05-09,41,5678
1e-4,GVE,2006-05-25,41,5640
1e-4,GVE,2006-06-10,41,5765
1e-4,GVE,2006-06-26,41,6945
1e-4,GVE,2006-07-12,41,7007
1e-4,GVE,2006-07-28,41,4829
1e-4,GVE,2006-08-13,41,4283
1e-4,GVE,2006-08-29,41,5861
1e-4,GVE,2006-09-14,41,4617
1e-4,GVE,2006-09-30,41,5219
1e-4,GVE,2006-10-16,41,4945
1e-4,GVE,2006-11-01,41,5577
1e-4,GVE,2006-11-17,41,4786
1e-4,GVE,2006-12-03,41,5005
1e-4,GVE,2006-12-19,41,5251
