scale,site,calendar_date,pixel,value
1e-4,HLL,2001-01-01,41,4841
1e-4,HLL,2001-01-17,41,5666
1e-4,HLL,2001-02-02,41,4960
1e-4,HLL,2001-02-18,41,5170
1e-4,HLL,2001-03-06,41,4167
1e-4,HLL,2001-03-22,41,4391
1e-4,HLL,2001-04-07,41,4373
1e-4,HLL,2001-04-23,41,7220
1e-4,HLL,2001-05-09,41,6168
1e-4,HLL,2001-05-25,41,7279
1e-4,HLL,2001-06-10,41,6444
1e-4,HLL,2001-06-26,41,6059
1e-4,HLL,2001-07-12,41,4518
1e-4,HLL,2001-07-28,41,6328
1e-4,HLL,2001-08-13,41,6201
1e-4,HLL,2001-08-29,41,6812
1e-4,HLL,2001-09-14,41,6245
1e-4,HLL,2001-09-30,41,6383
1e-4,HLL,2001-10-16,41,6547
1e-4,HLL,2001-11-01,41,7174
1e-4,HLL,2001-11-17,41,6734
1e-4,HLL,2001-12-03,41,6216
1e-4,HLL,2001-12-19,41,2225
1e-4,HLL,2002-01-01,41,2141
1e-4,HLL,2002-01-17,41,4699
1e-4,HLL,2002-02-02,41,4190
1e-4,HLL,2002-02-18,41,5182
1e-4,HLL,2002-03-06,41,5087
1e-4,HLL,2002-03-22,41,5603
1e-4,HLL,2002-04-07,41,5904
1e-4,HLL,2002-04-23,41,5164
1e-4,HLL,2002-05-09,41,5807
1e-4,HLL,2002-05-25,41,6827
1e-4,HLL,2002-06-10,41,6861
1e-4,HLL,2002-06-26,41,6936
1e-4,HLL,2002-07-12,41,6358
1e-4,HLL,2002-07-28,41,6912
1e-4,HLL,2002-08-13,41,5932
1e-4,HLL,2002-08-29,41,6223
1e-4,HLL,2002-09-14,41,6047
1e-4,HLL,2002-09-30,41,5116
1e-4,HLL,2002-10-16,41,4993
1e-4,HLL,2002-11-01,41,685
1e-4,HLL,2002-11-17,41,5559
1e-4,HLL,2002-12-03,41,6590
1e-4,HLL,2002-12-19,41,1393
1e-4,HLL,2003-01-01,41,3312
1e-4,HLL,2003-01-17,41,5439
1e-4,HLL,2003-02-02,41,83
1e-4,HLL,2003-02-18,41,3501
1e-4,HLL,2003-03-06,41,3921
1e-4,HLL,2003-03-22,41,4695
1e-4,HLL,2003-04-07,41,6705
1e-4,HLL,2003-04-23,41,7468
1e-4,HLL,2003-05-09,41,7714
1e-4,HLL,2003-05-25,41,7571
1e-4,HLL,2003-06-10,41,7106
1e-4,HLL,2003-06-26,41,5613
1e-4,HLL,2003-07-12,41,3697
1e-4,HLL,2003-07-28,41,3860
1e-4,HLL,2003-08-13,41,4522
1e-4,HLL,2003-08-29,41,4992
1e-4,HLL,2003-09-14,41,6245
1e-4,HLL,2003-09-30,41,6410
1e-4,HLL,2003-10-16,41,6865
1e-4,HLL,2003-11-01,41,5507
1e-4,HLL,2003-11-17,41,5535
1e-4,HLL,2003-12-03,41,5162
1e-4,HLL,2003-12-19,41,6400
1e-4,HLL,2004-01-01,41,2630
1e-4,HLL,2004-01-17,41,-186
1e-4,HLL,2004-02-02,41,4917
1e-4,HLL,2004-02-18,41,4890
1e-4,HLL,2004-03-05,41,4412
1e-4,HLL,2004-03-21,41,5030
1e-4,HLL,2004-04-06,41,6939
1e-4,HLL,2004-04-22,41,5217
1e-4,HLL,2004-05-08,41,5574
1e-4,HLL,2004-05-24,41,7157
1e-4,HLL,2004-06-09,41,7640
1e-4,HLL,2004-06-25,41,7969
1e-4,HLL,2004-07-11,41,6808
1e-4,HLL,2004-07-27,41,6834
1e-4,HLL,2004-08-12,41,6705
1e-4,HLL,2004-08-28,41,6981
1e-4,HLL,2004-09-13,41,7593
1e-4,HLL,2004-09-29,41,5140
1e-4,HLL,2004-10-15,41,6984
1e-4,HLL,2004-10-31,41,6597
1e-4,HLL,2004-11-16,41,1109
1e-4,HLL,2004-12-02,41,4278
1e-4,HLL,2004-12-18,41,-245
1e-4,HLL,2005-01-01,41,5854
1e-4,HLL,2005-01-17,41,1953
1e-4,HLL,2005-02-02,41,5071
1e-4,HLL,2005-02-18,41,7052
1e-4,HLL,2005-03-06,41,5077
1e-4,HLL,2005-03-22,41,7152
1e-4,HLL,2005-04-07,41,7538
1e-4,HLL,2005-04-23,41,7724
1e-4,HLL,2005-05-09,41,7378
1e-4,HLL,2005-05-25,41,7331
1e-4,HLL,2005-06-10,41,6654
1e-4,HLL,2005-06-26,41,6843
1e-4,HLL,2005-07-12,41,6148
1e-4,HLL,2005-07-28,41,5482
1e-4,HLL,2005-08-13,41,5969
1e-4,HLL,2005-08-29,41,5982
1e-4,HLL,2005-09-14,41,5968
1e-4,HLL,2005-09-30,41,5994
1e-4,HLL,2005-10-16,41,6350
1e-4,HLL,2005-11-01,41,6775
1e-4,HLL,2005-11-17,41,6026
1e-4,HLL,2005-12-03,41,6086
1e-4,HLL,2005-12-19,41,-392
1e-4,HLL,2006-01-01,41,-392
1e-4,HLL,2006-01-17,41,4599
1e-4,HLL,2006-02-02,41,4085
1e-4,HLL,2006-02-18,41,-148
1e-4,HLL,2006-03-06,41,3876
1e-4,HLL,2006-03-22,41,5107
1e-4,HLL,2006-04-07,41,5409
1e-4,HLL,2006-04-23,41,7484
1e-4,HLL,2006-05-09,41,6687
1e-4,HLL,2006-05-25,41,7155
1e-4,HLL,2006-06-10,41,7271
1e-4,HLL,2006-06-26,41,6783
1e-4,HLL,2006-07-12,41,4759
1e-4,HLL,2006-07-28,41,4320
1e-4,HLL,2006-08-13,41,6015
1e-4,HLL,2006-08-29,41,6217
1e-4,HLL,2006-09-14,41,6236
1e-4,HLL,2006-09-30,41,5823
1e-4,HLL,2006-10-16,41,7084
1e-4,HLL,2006-11-01,41,5771
1e-4,HLL,2006-11-17,41,6062
1e-4,HLL,2006-12-03,41,7143
1e-4,HLL,2006-12-19,41,6311
1e-4,HLL,2007-01-01,41,5350
1e-4,HLL,2007-01-17,41,6649
1e-4,HLL,2007-02-02,41,5674
