scale,site,calendar_date,pixel,value
1e-4,KOP,2001-01-01,41,3545
1e-4,KOP,2001-01-17,41,6089
1e-4,KOP,2001-02-02,41,5801
1e-4,KOP,2001-02-18,41,5530
1e-4,KOP,2001-03-06,41,4843
1e-4,KOP,2001-03-22,41,6127
1e-4,KOP,2001-04-07,41,4807
1e-4,KOP,2001-04-23,41,7095
1e-4,KOP,2001-05-09,41,5140
1e-4,KOP,2001-05-25,41,6136
1e-4,KOP,2001-06-10,41,6599
1e-4,KOP,2001-06-26,41,6533
1e-4,KOP,2001-07-12,41,6364
1e-4,KOP,2001-07-28,41,6245
1e-4,KOP,2001-08-13,41,7138
1e-4,KOP,2001-08-29,41,7409
1e-4,KOP,2001-09-14,41,7289
1e-4,KOP,2001-09-30,41,7082
1e-4,KOP,2001-10-16,41,6142
1e-4,KOP,2001-11-01,41,5849
1e-4,KOP,2001-11-17,41,6132
1e-4,KOP,2001-12-03,41,5742
1e-4,KOP,2001-12-19,41,181
1e-4,KOP,2002-01-01,41,3822
1e-4,KOP,2002-01-17,41,4647
1e-4,KOP,2002-02-02,41,4330
1e-4,KOP,2002-02-18,41,4342
1e-4,KOP,2002-03-06,41,4183
1e-4,KOP,2002-03-22,41,4864
1e-4,KOP,2002-04-07,41,6058
1e-4,KOP,2002-04-23,41,6320
1e-4,KOP,2002-05-09,41,6628
1e-4,KOP,2002-05-25,41,7285
1e-4,KOP,2002-06-10,41,7653
1e-4,KOP,2002-06-26,41,7014
1e-4,KOP,2002-07-12,41,7233
1e-4,KOP,2002-07-28,41,6939
1e-4,KOP,2002-08-13,41,6472
1e-4,KOP,2002-08-29,41,7465
1e-4,KOP,2002-09-14,41,7433
1e-4,KOP,2002-09-30,41,6764
1e-4,KOP,2002-10-16,41,6492
1e-4,KOP,2002-11-01,41,1587
1e-4,KOP,2002-11-17,41,6472
1e-4,KOP,2002-12-03,41,0
1e-4,KOP,2002-12-19,41,6699
1e-4,KOP,2003-01-01,41,6699
1e-4,KOP,2003-01-17,41,5279
1e-4,KOP,2003-02-02,41,181
1e-4,KOP,2003-02-18,41,3751
1e-4,KOP,2003-03-06,41,4088
1e-4,KOP,2003-03-22,41,4468
1e-4,KOP,2003-04-07,41,5738
1e-4,KOP,2003-04-23,41,6308
1e-4,KOP,2003-05-09,41,7599
1e-4,KOP,2003-05-25,41,7877
1e-4,KOP,2003-06-10,41,7886
1e-4,KOP,2003-06-26,41,5932
1e-4,KOP,2003-07-12,41,5505
1e-4,KOP,2003-07-28,41,6661
1e-4,KOP,2003-08-13,41,5830
1e-4,KOP,2003-08-29,41,6395
1e-4,KOP,2003-09-14,41,6063
1e-4,KOP,2003-09-30,41,6850
1e-4,KOP,2003-10-16,41,7183
1e-4,KOP,2003-11-01,41,6057
1e-4,KOP,2003-11-17,41,4996
1e-4,KOP,2003-12-03,41,5967
1e-4,KOP,2003-12-19,41,5515
1e-4,KOP,2004-01-01,41,1829
1e-4,KOP,2004-01-17,41,-76
1e-4,KOP,2004-02-02,41,-344
1e-4,KOP,2004-02-18,41,827
1e-4,KOP,2004-03-05,41,4956
