scale,site,calendar_date,pixel,value
1e-4,LUZ,2001-01-01,41,3829
1e-4,LUZ,2001-01-17,41,4704
1e-4,LUZ,2001-02-02,41,4370
1e-4,LUZ,2001-02-18,41,1503
1e-4,LUZ,2001-03-06,41,5191
1e-4,LUZ,2001-03-22,41,4751
1e-4,LUZ,2001-04-07,41,2791
1e-4,LUZ,2001-04-23,41,3477
1e-4,LUZ,2001-05-09,41,6180
1e-4,LUZ,2001-05-25,41,6405
1e-4,LUZ,2001-06-10,41,5399
1e-4,LUZ,2001-06-26,41,5562
1e-4,LUZ,2001-07-12,41,5924
1e-4,LUZ,2001-07-28,41,5586
1e-4,LUZ,2001-08-13,41,6211
1e-4,LUZ,2001-08-29,41,5997
1e-4,LUZ,2001-09-14,41,5422
1e-4,LUZ,2001-09-30,41,6118
1e-4,LUZ,2001-10-16,41,4644
1e-4,LUZ,2001-11-01,41,4541
1e-4,LUZ,2001-11-17,41,2018
1e-4,LUZ,2001-12-03,41,3267
1e-4,LUZ,2001-12-19,41,2550
1e-4,LUZ,2002-01-01,41,2550
1e-4,LUZ,2002-01-17,41,3212
1e-4,LUZ,2002-02-02,41,4334
1e-4,LUZ,2002-02-18,41,3257
1e-4,LUZ,2002-03-06,41,4535
1e-4,LUZ,2002-03-22,41,4891
1e-4,LUZ,2002-04-07,41,4619
1e-4,LUZ,2002-04-23,41,6192
1e-4,LUZ,2002-05-09,41,5536
1e-4,LUZ,2002-05-25,41,6639
1e-4,LUZ,2002-06-10,41,4771
1e-4,LUZ,2002-06-26,41,6017
1e-4,LUZ,2002-07-12,41,5487
1e-4,LUZ,2002-07-28,41,6153
1e-4,LUZ,2002-08-13,41,4824
1e-4,LUZ,2002-08-29,41,4996
1e-4,LUZ,2002-09-14,41,5965
1e-4,LUZ,2002-09-30,41,5192
1e-4,LUZ,2002-10-16,41,5459
1e-4,LUZ,2002-11-01,41,5070
1e-4,LUZ,2002-11-17,41,4535
1e-4,LUZ,2002-12-03,41,4730
1e-4,LUZ,2002-12-19,41,3047
1e-4,LUZ,2003-01-01,41,3047
1e-4,LUZ,2003-01-17,41,4225
1e-4,LUZ,2003-02-02,41,275
1e-4,LUZ,2003-02-18,41,3096
1e-4,LUZ,2003-03-06,41,4702
1e-4,LUZ,2003-03-22,41,3629
1e-4,LUZ,2003-04-07,41,4070
1e-4,LUZ,2003-04-23,41,5230
1e-4,LUZ,2003-05-09,41,6193
1e-4,LUZ,2003-05-25,41,5978
1e-4,LUZ,2003-06-10,41,5698
1e-4,LUZ,2003-06-26,41,5710
1e-4,LUZ,2003-07-12,41,5550
1e-4,LUZ,2003-07-28,41,5865
1e-4,LUZ,2003-08-13,41,5820
1e-4,LUZ,2003-08-29,41,5893
1e-4,LUZ,2003-09-14,41,6202
1e-4,LUZ,2003-09-30,41,5498
1e-4,LUZ,2003-10-16,41,6057
1e-4,LUZ,2003-11-01,41,4068
1e-4,LUZ,2003-11-17,41,4380
1e-4,LUZ,2003-12-03,41,3711
1e-4,LUZ,2003-12-19,41,1654
1e-4,LUZ,2004-01-01,41,4847
1e-4,LUZ,2004-01-17,41,2048
1e-4,LUZ,2004-02-02,41,4516
1e-4,LUZ,2004-02-18,41,124
1e-4,LUZ,2004-03-05,41,4097
1e-4,LUZ,2004-03-21,41,3177
1e-4,LUZ,2004-04-06,41,3982
1e-4,LUZ,2004-04-22,41,4515
1e-4,LUZ,2004-05-08,41,5490
1e-4,LUZ,2004-05-24,41,5708
1e-4,LUZ,2004-06-09,41,5714
1e-4,LUZ,2004-06-25,41,5360
1e-4,LUZ,2004-07-11,41,6300
1e-4,LUZ,2004-07-27,41,5158
1e-4,LUZ,2004-08-12,41,5681
1e-4,LUZ,2004-08-28,41,6087
1e-4,LUZ,2004-09-13,41,5575
1e-4,LUZ,2004-09-29,41,5318
1e-4,LUZ,2004-10-15,41,4818
1e-4,LUZ,2004-10-31,41,6980
1e-4,LUZ,2004-11-16,41,4753
1e-4,LUZ,2004-12-02,41,1104
1e-4,LUZ,2004-12-18,41,730
1e-4,LUZ,2005-01-01,41,5141
1e-4,LUZ,2005-01-17,41,68
1e-4,LUZ,2005-02-02,41,688
1e-4,LUZ,2005-02-18,41,212
1e-4,LUZ,2005-03-06,41,3388
1e-4,LUZ,2005-03-22,41,5921
1e-4,LUZ,2005-04-07,41,4501
1e-4,LUZ,2005-04-23,41,4700
1e-4,LUZ,2005-05-09,41,5382
1e-4,LUZ,2005-05-25,41,6259
1e-4,LUZ,2005-06-10,41,5530
1e-4,LUZ,2005-06-26,41,5010
1e-4,LUZ,2005-07-12,41,6291
1e-4,LUZ,2005-07-28,41,5411
1e-4,LUZ,2005-08-13,41,6850
1e-4,LUZ,2005-08-29,41,6249
1e-4,LUZ,2005-09-14,41,5198
1e-4,LUZ,2005-09-30,41,6006
1e-4,LUZ,2005-10-16,41,5552
1e-4,LUZ,2005-11-01,41,4753
1e-4,LUZ,2005-11-17,41,5018
1e-4,LUZ,2005-12-03,41,4340
1e-4,LUZ,2005-12-19,41,-118
1e-4,LUZ,2006-01-01,41,1927
1e-4,LUZ,2006-01-17,41,2360
1e-4,LUZ,2006-02-02,41,1851
1e-4,LUZ,2006-02-18,41,1845
1e-4,LUZ,2006-03-06,41,4452
1e-4,LUZ,2006-03-22,41,3856
1e-4,LUZ,2006-04-07,41,4556
1e-4,LUZ,2006-04-23,41,4774
1e-4,LUZ,2006-05-09,41,5326
1e-4,LUZ,2006-05-25,41,5353
1e-4,LUZ,2006-06-10,41,4752
1e-4,LUZ,2006-06-26,41,5579
1e-4,LUZ,2006-07-12,41,5907
1e-4,LUZ,2006-07-28,41,5476
1e-4,LUZ,2006-08-13,41,6518
1e-4,LUZ,2006-08-29,41,6068
1e-4,LUZ,2006-09-14,41,5317
1e-4,LUZ,2006-09-30,41,5004
1e-4,LUZ,2006-10-16,41,5616
1e-4,LUZ,2006-11-01,41,4597
1e-4,LUZ,2006-11-17,41,3929
1e-4,LUZ,2006-12-03,41,4485
1e-4,LUZ,2006-12-19,41,4390
1e-4,LUZ,2007-01-01,41,5138
1e-4,LUZ,2007-01-17,41,526
1e-4,LUZ,2007-02-02,41,4019
1e-4,LUZ,2007-02-18,41,4612
1e-4,LUZ,2007-03-06,41,4669
1e-4,LUZ,2007-03-22,41,5063
1e-4,LUZ,2007-04-07,41,4303
1e-4,LUZ,2007-04-23,41,6187
1e-4,LUZ,2007-05-09,41,6317
1e-4,LUZ,2007-05-25,41,5812
1e-4,LUZ,2007-06-10,41,5606
1e-4,LUZ,2007-06-26,41,4866
1e-4,LUZ,2007-07-12,41,5681
1e-4,LUZ,2007-07-28,41,5839
1e-4,LUZ,2007-08-13,41,6245
1e-4,LUZ,2007-08-29,41,5740
1e-4,LUZ,2007-09-14,41,4978
1e-4,LUZ,2007-09-30,41,5459
1e-4,LUZ,2007-10-16,41,4566
1e-4,LUZ,2007-11-01,41,4790
1e-4,LUZ,2007-11-17,41,4251
1e-4,LUZ,2007-12-03,41,3992
1e-4,LUZ,2007-12-19,41,4989
1e-4,LUZ,2008-01-01,41,3105
1e-4,LUZ,2008-01-17,41,4576
1e-4,LUZ,2008-02-02,41,4114
1e-4,LUZ,2008-02-18,41,3867
1e-4,LUZ,2008-03-05,41,3903
1e-4,LUZ,2008-03-21,41,1600
1e-4,LUZ,2008-04-06,41,3970
1e-4,LUZ,2008-04-22,41,5095
1e-4,LUZ,2008-05-08,41,5625
1e-4,LUZ,2008-05-24,41,3654
1e-4,LUZ,2008-06-09,41,5304
1e-4,LUZ,2008-06-25,41,6022
1e-4,LUZ,2008-07-11,41,5511
1e-4,LUZ,2008-07-27,41,5544
1e-4,LUZ,2008-08-12,41,5482
1e-4,LUZ,2008-08-28,41,4789
1e-4,LUZ,2008-09-13,41,4908
1e-4,LUZ,2008-09-29,41,5913
1e-4,LUZ,2008-10-15,41,5284
1e-4,LUZ,2008-10-31,41,3964
1e-4,LUZ,2008-11-16,41,4072
1e-4,LUZ,2008-12-02,41,4656
1e-4,LUZ,2008-12-18,41,3017
1e-4,LUZ,2009-01-01,41,171
1e-4,LUZ,2009-01-17,41,2428
1e-4,LUZ,2009-02-02,41,152
1e-4,LUZ,2009-02-18,41,3896
1e-4,LUZ,2009-03-06,41,3643
1e-4,LUZ,2009-03-22,41,4010
1e-4,LUZ,2009-04-07,41,4048
1e-4,LUZ,2009-04-23,41,4550
1e-4,LUZ,2009-05-09,41,6132
1e-4,LUZ,2009-05-25,41,5733
1e-4,LUZ,2009-06-10,41,4963
1e-4,LUZ,2009-06-26,41,5723
1e-4,LUZ,2009-07-12,41,5266
1e-4,LUZ,2009-07-28,41,6056
1e-4,LUZ,2009-08-13,41,5018
1e-4,LUZ,2009-08-29,41,5979
1e-4,LUZ,2009-09-14,41,4246
1e-4,LUZ,2009-09-30,41,4387
1e-4,LUZ,2009-10-16,41,4380
1e-4,LUZ,2009-11-01,41,4337
1e-4,LUZ,2009-11-17,41,4440
1e-4,LUZ,2009-12-03,41,4661
1e-4,LUZ,2009-12-19,41,3823
1e-4,LUZ,2010-01-01,41,2486
1e-4,LUZ,2010-01-17,41,346
1e-4,LUZ,2010-02-02,41,-330
1e-4,LUZ,2010-02-18,41,3405
1e-4,LUZ,2010-03-06,41,2913
1e-4,LUZ,2010-03-22,41,4172
1e-4,LUZ,2010-04-07,41,4066
1e-4,LUZ,2010-04-23,41,4986
1e-4,LUZ,2010-05-09,41,5500
1e-4,LUZ,2010-05-25,41,5261
