scale,site,calendar_date,pixel,value
1e-4,PAY,2001-01-01,41,6001
1e-4,PAY,2001-01-17,41,4930
1e-4,PAY,2001-02-02,41,4838
1e-4,PAY,2001-02-18,41,4628
1e-4,PAY,2001-03-06,41,4937
1e-4,PAY,2001-03-22,41,5360
1e-4,PAY,2001-04-07,41,6264
1e-4,PAY,2001-04-23,41,3391
1e-4,PAY,2001-05-09,41,5815
1e-4,PAY,2001-05-25,41,5934
1e-4,PAY,2001-06-10,41,5872
1e-4,PAY,2001-06-26,41,5718
1e-4,PAY,2001-07-12,41,5813
1e-4,PAY,2001-07-28,41,6103
1e-4,PAY,2001-08-13,41,6325
1e-4,PAY,2001-08-29,41,6464
1e-4,PAY,2001-09-14,41,6954
1e-4,PAY,2001-09-30,41,6463
1e-4,PAY,2001-10-16,41,6391
1e-4,PAY,2001-11-01,41,6147
1e-4,PAY,2001-11-17,41,5932
1e-4,PAY,2001-12-03,41,5327
1e-4,PAY,2001-12-19,41,4321
1e-4,PAY,2002-01-01,41,4436
1e-4,PAY,2002-01-17,41,4229
1e-4,PAY,2002-02-02,41,4286
1e-4,PAY,2002-02-18,41,4425
1e-4,PAY,2002-03-06,41,4718
1e-4,PAY,2002-03-22,41,5827
1e-4,PAY,2002-04-07,41,6742
1e-4,PAY,2002-04-23,41,6605
1e-4,PAY,2002-05-09,41,6814
1e-4,PAY,2002-05-25,41,6098
1e-4,PAY,2002-06-10,41,6085
1e-4,PAY,2002-06-26,41,5730
1e-4,PAY,2002-07-12,41,6320
1e-4,PAY,2002-07-28,41,6144
1e-4,PAY,2002-08-13,41,6319
1e-4,PAY,2002-08-29,41,6839
1e-4,PAY,2002-09-14,41,6944
1e-4,PAY,2002-09-30,41,6928
1e-4,PAY,2002-10-16,41,6401
1e-4,PAY,2002-11-01,41,6533
1e-4,PAY,2002-11-17,41,6394
1e-4,PAY,2002-12-03,41,1255
1e-4,PAY,2002-12-19,41,2551
1e-4,PAY,2003-01-01,41,4544
1e-4,PAY,2003-01-17,41,1599
1e-4,PAY,2003-02-02,41,3341
1e-4,PAY,2003-02-18,41,3921
1e-4,PAY,2003-03-06,41,4244
1e-4,PAY,2003-03-22,41,4263
1e-4,PAY,2003-04-07,41,5394
1e-4,PAY,2003-04-23,41,6406
1e-4,PAY,2003-05-09,41,5220
1e-4,PAY,2003-05-25,41,6513
1e-4,PAY,2003-06-10,41,6130
1e-4,PAY,2003-06-26,41,5014
1e-4,PAY,2003-07-12,41,4537
