scale,site,calendar_date,pixel,value
1e-4,REH,2001-01-01,41,5979
1e-4,REH,2001-01-17,41,5934
1e-4,REH,2001-02-02,41,5942
1e-4,REH,2001-02-18,41,4249
1e-4,REH,2001-03-06,41,4219
1e-4,REH,2001-03-22,41,6438
1e-4,REH,2001-04-07,41,851
1e-4,REH,2001-04-23,41,6561
1e-4,REH,2001-05-09,41,7116
1e-4,REH,2001-05-25,41,6032
1e-4,REH,2001-06-10,41,6822
1e-4,REH,2001-06-26,41,6111
1e-4,REH,2001-07-12,41,6197
1e-4,REH,2001-07-28,41,6145
1e-4,REH,2001-08-13,41,6194
1e-4,REH,2001-08-29,41,6307
1e-4,REH,2001-09-14,41,7189
1e-4,REH,2001-09-30,41,7089
1e-4,REH,2001-10-16,41,7094
1e-4,REH,2001-11-01,41,7309
1e-4,REH,2001-11-17,41,2182
1e-4,REH,2001-12-03,41,2201
1e-4,REH,2001-12-19,41,4804
1e-4,REH,2002-01-01,41,3218
1e-4,REH,2002-01-17,41,4775
1e-4,REH,2002-02-02,41,4253
1e-4,REH,2002-02-18,41,4119
1e-4,REH,2002-03-06,41,5071
1e-4,REH,2002-03-22,41,5507
1e-4,REH,2002-04-07,41,6033
1e-4,REH,2002-04-23,41,6085
1e-4,REH,2002-05-09,41,6499
1e-4,REH,2002-05-25,41,7330
1e-4,REH,2002-06-10,41,6663
1e-4,REH,2002-06-26,41,7046
1e-4,REH,2002-07-12,41,6923
1e-4,REH,2002-07-28,41,5745
1e-4,REH,2002-08-13,41,5822
1e-4,REH,2002-08-29,41,7715
1e-4,REH,2002-09-14,41,7424
1e-4,REH,2002-09-30,41,6808
1e-4,REH,2002-10-16,41,6684
1e-4,REH,2002-11-01,41,2459
1e-4,REH,2002-11-17,41,6874
1e-4,REH,2002-12-03,41,1208
1e-4,REH,2002-12-19,41,6722
1e-4,REH,2003-01-01,41,6722
1e-4,REH,2003-01-17,41,4418
1e-4,REH,2003-02-02,41,181
1e-4,REH,2003-02-18,41,5103
1e-4,REH,2003-03-06,41,5297
1e-4,REH,2003-03-22,41,4956
1e-4,REH,2003-04-07,41,6066
1e-4,REH,2003-04-23,41,7199
1e-4,REH,2003-05-09,41,6845
1e-4,REH,2003-05-25,41,7474
1e-4,REH,2003-06-10,41,7161
1e-4,REH,2003-06-26,41,6454
1e-4,REH,2003-07-12,41,5462
1e-4,REH,2003-07-28,41,6919
1e-4,REH,2003-08-13,41,5939
1e-4,REH,2003-08-29,41,6632
1e-4,REH,2003-09-14,41,7174
1e-4,REH,2003-09-30,41,4933
1e-4,REH,2003-10-16,41,6433
1e-4,REH,2003-11-01,41,5843
1e-4,REH,2003-11-17,41,5406
1e-4,REH,2003-12-03,41,5485
1e-4,REH,2003-12-19,41,6255
1e-4,REH,2004-01-01,41,1872
1e-4,REH,2004-01-17,41,31
1e-4,REH,2004-02-02,41,4782
1e-4,REH,2004-02-18,41,216
1e-4,REH,2004-03-05,41,5374
1e-4,REH,2004-03-21,41,5473
1e-4,REH,2004-04-06,41,6535
1e-4,REH,2004-04-22,41,6515
1e-4,REH,2004-05-08,41,5436
1e-4,REH,2004-05-24,41,7105
1e-4,REH,2004-06-09,41,6995
1e-4,REH,2004-06-25,41,7057
1e-4,REH,2004-07-11,41,7276
1e-4,REH,2004-07-27,41,6251
1e-4,REH,2004-08-12,41,7058
1e-4,REH,2004-08-28,41,6489
1e-4,REH,2004-09-13,41,7712
1e-4,REH,2004-09-29,41,6167
1e-4,REH,2004-10-15,41,6684
1e-4,REH,2004-10-31,41,3620
1e-4,REH,2004-11-16,41,1964
1e-4,REH,2004-12-02,41,1312
1e-4,REH,2004-12-18,41,5716
1e-4,REH,2005-01-01,41,5562
1e-4,REH,2005-01-17,41,-38
1e-4,REH,2005-02-02,41,259
1e-4,REH,2005-02-18,41,270
1e-4,REH,2005-03-06,41,3674
1e-4,REH,2005-03-22,41,6360
1e-4,REH,2005-04-07,41,6196
1e-4,REH,2005-04-23,41,7182
1e-4,REH,2005-05-09,41,7707
1e-4,REH,2005-05-25,41,7355
1e-4,REH,2005-06-10,41,6929
1e-4,REH,2005-06-26,41,7021
1e-4,REH,2005-07-12,41,6744
1e-4,REH,2005-07-28,41,6247
1e-4,REH,2005-08-13,41,6572
1e-4,REH,2005-08-29,41,7030
1e-4,REH,2005-09-14,41,7269
1e-4,REH,2005-09-30,41,6550
1e-4,REH,2005-10-16,41,6645
1e-4,REH,2005-11-01,41,6183
1e-4,REH,2005-11-17,41,6062
1e-4,REH,2005-12-03,41,338
1e-4,REH,2005-12-19,41,1077
1e-4,REH,2006-01-01,41,1077
1e-4,REH,2006-01-17,41,2809
1e-4,REH,2006-02-02,41,1411
1e-4,REH,2006-02-18,41,350
1e-4,REH,2006-03-06,41,4120
1e-4,REH,2006-03-22,41,4131
1e-4,REH,2006-04-07,41,6269
1e-4,REH,2006-04-23,41,6396
1e-4,REH,2006-05-09,41,6592
1e-4,REH,2006-05-25,41,6633
1e-4,REH,2006-06-10,41,6995
1e-4,REH,2006-06-26,41,6573
1e-4,REH,2006-07-12,41,5667
1e-4,REH,2006-07-28,41,4741
1e-4,REH,2006-08-13,41,6611
1e-4,REH,2006-08-29,41,7298
1e-4,REH,2006-09-14,41,7100
1e-4,REH,2006-09-30,41,7776
1e-4,REH,2006-10-16,41,7153
1e-4,REH,2006-11-01,41,6534
1e-4,REH,2006-11-17,41,4543
1e-4,REH,2006-12-03,41,6527
1e-4,REH,2006-12-19,41,6120
1e-4,REH,2007-01-01,41,6031
1e-4,REH,2007-01-17,41,1639
1e-4,REH,2007-02-02,41,6621
1e-4,REH,2007-02-18,41,6555
1e-4,REH,2007-03-06,41,6125
1e-4,REH,2007-03-22,41,6860
1e-4,REH,2007-04-07,41,6113
1e-4,REH,2007-04-23,41,6477
1e-4,REH,2007-05-09,41,5799
1e-4,REH,2007-05-25,41,6018
1e-4,REH,2007-06-10,41,6256
1e-4,REH,2007-06-26,41,7425
1e-4,REH,2007-07-12,41,7062
1e-4,REH,2007-07-28,41,7148
1e-4,REH,2007-08-13,41,6780
1e-4,REH,2007-08-29,41,7171
1e-4,REH,2007-09-14,41,6245
1e-4,REH,2007-09-30,41,6562
1e-4,REH,2007-10-16,41,6034
1e-4,REH,2007-11-01,41,5567
1e-4,REH,2007-11-17,41,5270
1e-4,REH,2007-12-03,41,5414
1e-4,REH,2007-12-19,41,1454
1e-4,REH,2008-01-01,41,4906
1e-4,REH,2008-01-17,41,4668
1e-4,REH,2008-02-02,41,4406
1e-4,REH,2008-02-18,41,4338
1e-4,REH,2008-03-05,41,4357
1e-4,REH,2008-03-21,41,5188
1e-4,REH,2008-04-06,41,4512
1e-4,REH,2008-04-22,41,5577
1e-4,REH,2008-05-08,41,5258
1e-4,REH,2008-05-24,41,5298
1e-4,REH,2008-06-09,41,7171
1e-4,REH,2008-06-25,41,7127
1e-4,REH,2008-07-11,41,6898
1e-4,REH,2008-07-27,41,7242
1e-4,REH,2008-08-12,41,6692
1e-4,REH,2008-08-28,41,6649
1e-4,REH,2008-09-13,41,7514
1e-4,REH,2008-09-29,41,6703
1e-4,REH,2008-10-15,41,7003
1e-4,REH,2008-10-31,41,6696
1e-4,REH,2008-11-16,41,3572
1e-4,REH,2008-12-02,41,2012
1e-4,REH,2008-12-18,41,5423
1e-4,REH,2009-01-01,41,341
1e-4,REH,2009-01-17,41,5099
1e-4,REH,2009-02-02,41,169
1e-4,REH,2009-02-18,41,4277
1e-4,REH,2009-03-06,41,4716
1e-4,REH,2009-03-22,41,5588
1e-4,REH,2009-04-07,41,5799
1e-4,REH,2009-04-23,41,6764
1e-4,REH,2009-05-09,41,7255
1e-4,REH,2009-05-25,41,6066
1e-4,REH,2009-06-10,41,6507
1e-4,REH,2009-06-26,41,7234
1e-4,REH,2009-07-12,41,7439
1e-4,REH,2009-07-28,41,6194
1e-4,REH,2009-08-13,41,6663
1e-4,REH,2009-08-29,41,7120
1e-4,REH,2009-09-14,41,6791
1e-4,REH,2009-09-30,41,6976
1e-4,REH,2009-10-16,41,6746
1e-4,REH,2009-11-01,41,5985
1e-4,REH,2009-11-17,41,5997
1e-4,REH,2009-12-03,41,6473
1e-4,REH,2009-12-19,41,5344
1e-4,REH,2010-01-01,41,4783
1e-4,REH,2010-01-17,41,2137
1e-4,REH,2010-02-02,41,312
1e-4,REH,2010-02-18,41,4494
1e-4,REH,2010-03-06,41,4675
1e-4,REH,2010-03-22,41,5742
1e-4,REH,2010-04-07,41,6601
1e-4,REH,2010-04-23,41,6042
1e-4,REH,2010-05-09,41,5962
1e-4,REH,2010-05-25,41,6712
1e-4,REH,2010-06-10,41,7390
1e-4,REH,2010-06-26,41,6640
1e-4,REH,2010-07-12,41,7105
1e-4,REH,2010-07-28,41,6399
1e-4,REH,2010-08-13,41,7170
1e-4,REH,2010-08-29,41,7179
1e-4,REH,2010-09-14,41,5848
1e-4,REH,2010-09-30,41,7116
1e-4,REH,2010-10-16,41,5917
1e-4,REH,2010-11-01,41,5275
1e-4,REH,2010-11-17,41,1636
1e-4,REH,2010-12-03,41,952
1e-4,REH,2010-12-19,41,102
1e-4,REH,2011-01-01,41,4988
1e-4,REH,2011-01-17,41,1782
1e-4,REH,2011-02-02,41,5098
1e-4,REH,2011-02-18,41,4878
1e-4,REH,2011-03-06,41,5097
1e-4,REH,2011-03-22,41,6060
1e-4,REH,2011-04-07,41,6737
1e-4,REH,2011-04-23,41,6317
1e-4,REH,2011-05-09,41,6269
1e-4,REH,2011-05-25,41,5932
1e-4,REH,2011-06-10,41,6770
1e-4,REH,2011-06-26,41,6353
1e-4,REH,2011-07-12,41,6023
1e-4,REH,2011-07-28,41,6280
1e-4,REH,2011-08-13,41,6901
1e-4,REH,2011-08-29,41,6700
1e-4,REH,2011-09-14,41,7352
1e-4,REH,2011-09-30,41,7065
1e-4,REH,2011-10-16,41,6548
1e-4,REH,2011-11-01,41,5433
1e-4,REH,2011-11-17,41,6345
1e-4,REH,2011-12-03,41,1747
1e-4,REH,2011-12-19,41,5922
1e-4,REH,2012-01-01,41,5331
1e-4,REH,2012-01-17,41,4091
1e-4,REH,2012-02-02,41,442
1e-4,REH,2012-02-18,41,5050
1e-4,REH,2012-03-05,41,4645
1e-4,REH,2012-03-21,41,5066
1e-4,REH,2012-04-06,41,3835
1e-4,REH,2012-04-22,41,5947
1e-4,REH,2012-05-08,41,5961
1e-4,REH,2012-05-24,41,6149
1e-4,REH,2012-06-09,41,6773
1e-4,REH,2012-06-25,41,6804
1e-4,REH,2012-07-11,41,6499
1e-4,REH,2012-07-27,41,7734
1e-4,REH,2012-08-12,41,6856
1e-4,REH,2012-08-28,41,7098
1e-4,REH,2012-09-13,41,6921
1e-4,REH,2012-09-29,41,6480
1e-4,REH,2012-10-15,41,7335
1e-4,REH,2012-10-31,41,6414
1e-4,REH,2012-11-16,41,5458
1e-4,REH,2012-12-02,41,-408
1e-4,REH,2012-12-18,41,5923
1e-4,REH,2013-01-01,41,5847
1e-4,REH,2013-01-17,41,2283
1e-4,REH,2013-02-02,41,6139
1e-4,REH,2013-02-18,41,1441
1e-4,REH,2013-03-06,41,3082
1e-4,REH,2013-03-22,41,4924
1e-4,REH,2013-04-07,41,5403
1e-4,REH,2013-04-23,41,6502
1e-4,REH,2013-05-09,41,6512
1e-4,REH,2013-05-25,41,5996
1e-4,REH,2013-06-10,41,6442
1e-4,REH,2013-06-26,41,6899
1e-4,REH,2013-07-12,41,6629
1e-4,REH,2013-07-28,41,6034
1e-4,REH,2013-08-13,41,6684
1e-4,REH,2013-08-29,41,6805
1e-4,REH,2013-09-14,41,7210
1e-4,REH,2013-09-30,41,8013
1e-4,REH,2013-10-16,41,7386
1e-4,REH,2013-11-01,41,6343
1e-4,REH,2013-11-17,41,5845
1e-4,REH,2013-12-03,41,6222
1e-4,REH,2013-12-19,41,6824
1e-4,REH,2014-01-01,41,5470
1e-4,REH,2014-01-17,41,5486
1e-4,REH,2014-02-02,41,5249
1e-4,REH,2014-02-18,41,5225
1e-4,REH,2014-03-06,41,5849
1e-4,REH,2014-03-22,41,6356
1e-4,REH,2014-04-07,41,7302
1e-4,REH,2014-04-23,41,6328
1e-4,REH,2014-05-09,41,6527
1e-4,REH,2014-05-25,41,5816
1e-4,REH,2014-06-10,41,6536
1e-4,REH,2014-06-26,41,5831
1e-4,REH,2014-07-12,41,6097
1e-4,REH,2014-07-28,41,7323
1e-4,REH,2014-08-13,41,6227
1e-4,REH,2014-08-29,41,6505
1e-4,REH,2014-09-14,41,7764
1e-4,REH,2014-09-30,41,7454
1e-4,REH,2014-10-16,41,7560
1e-4,REH,2014-11-01,41,6051
1e-4,REH,2014-11-17,41,5147
1e-4,REH,2014-12-03,41,6787
1e-4,REH,2014-12-19,41,5926
1e-4,REH,2015-01-01,41,6096
1e-4,REH,2015-01-17,41,538
1e-4,REH,2015-02-02,41,316
1e-4,REH,2015-02-18,41,4896
1e-4,REH,2015-03-06,41,4462
1e-4,REH,2015-03-22,41,6277
1e-4,REH,2015-04-07,41,5282
1e-4,REH,2015-04-23,41,5628
1e-4,REH,2015-05-09,41,6295
1e-4,REH,2015-05-25,41,6090
1e-4,REH,2015-06-10,41,7004
1e-4,REH,2015-06-26,41,5954
1e-4,REH,2015-07-12,41,5264
1e-4,REH,2015-07-28,41,5655
1e-4,REH,2015-08-13,41,5871
1e-4,REH,2015-08-29,41,6085
1e-4,REH,2015-09-14,41,6578
1e-4,REH,2015-09-30,41,6318
1e-4,REH,2015-10-16,41,6124
1e-4,REH,2015-11-01,41,6007
1e-4,REH,2015-11-17,41,7209
1e-4,REH,2015-12-03,41,7015
1e-4,REH,2015-12-19,41,6258
1e-4,REH,2016-01-01,41,3540
1e-4,REH,2016-01-17,41,6075
1e-4,REH,2016-02-02,41,5681
1e-4,REH,2016-02-18,41,3509
1e-4,REH,2016-03-05,41,5781
1e-4,REH,2016-03-21,41,6035
1e-4,REH,2016-04-06,41,6950
1e-4,REH,2016-04-22,41,6384
1e-4,REH,2016-05-08,41,6078
1e-4,REH,2016-05-24,41,7705
1e-4,REH,2016-06-09,41,7294
1e-4,REH,2016-06-25,41,6129
1e-4,REH,2016-07-11,41,6010
1e-4,REH,2016-07-27,41,6343
1e-4,REH,2016-08-12,41,7055
1e-4,REH,2016-08-28,41,6009
1e-4,REH,2016-09-13,41,7008
1e-4,REH,2016-09-29,41,7193
1e-4,REH,2016-10-15,41,6776
1e-4,REH,2016-10-31,41,6353
1e-4,REH,2016-11-16,41,5074
1e-4,REH,2016-12-02,41,5733
1e-4,REH,2016-12-18,41,5461
1e-4,REH,2017-01-01,41,293
1e-4,REH,2017-01-17,41,791
1e-4,REH,2017-02-02,41,4292
1e-4,REH,2017-02-18,41,5084
1e-4,REH,2017-03-06,41,5508
1e-4,REH,2017-03-22,41,6437
1e-4,REH,2017-04-07,41,6229
1e-4,REH,2017-04-23,41,6260
1e-4,REH,2017-05-09,41,6542
1e-4,REH,2017-05-25,41,7136
1e-4,REH,2017-06-10,41,6999
1e-4,REH,2017-06-26,41,6242
1e-4,REH,2017-07-12,41,6611
1e-4,REH,2017-07-28,41,7544
1e-4,REH,2017-08-13,41,6523
1e-4,REH,2017-08-29,41,6902
1e-4,REH,2017-09-14,41,7429
1e-4,REH,2017-09-30,41,6550
1e-4,REH,2017-10-16,41,6327
1e-4,REH,2017-11-01,41,6085
1e-4,REH,2017-11-17,41,4261
1e-4,REH,2017-12-03,41,3580
1e-4,REH,2017-12-19,41,6069
1e-4,REH,2018-01-01,41,6229
1e-4,REH,2018-01-17,41,4934
1e-4,REH,2018-02-02,41,4936
1e-4,REH,2018-02-18,41,4393
1e-4,REH,2018-03-06,41,4786
1e-4,REH,2018-03-22,41,5781
1e-4,REH,2018-04-07,41,6134
1e-4,REH,2018-04-23,41,6250
1e-4,REH,2018-05-09,41,6184
1e-4,REH,2018-05-25,41,7012
1e-4,REH,2018-06-10,41,7323
1e-4,REH,2018-06-26,41,7086
1e-4,REH,2018-07-12,41,6146
1e-4,REH,2018-07-28,41,5387
1e-4,REH,2018-08-13,41,5679
1e-4,REH,2018-08-29,41,6232
1e-4,REH,2018-09-14,41,6943
1e-4,REH,2018-09-30,41,6588
1e-4,REH,2018-10-16,41,6218
1e-4,REH,2018-11-01,41,6615
1e-4,REH,2018-11-17,41,1590
1e-4,REH,2018-12-03,41,7160
1e-4,REH,2018-12-19,41,6158
1e-4,REH,2019-01-01,41,5300
1e-4,REH,2019-01-17,41,6145
1e-4,REH,2019-02-02,41,5241
1e-4,REH,2019-02-18,41,4848
1e-4,REH,2019-03-06,41,5350
1e-4,REH,2019-03-22,41,5647
1e-4,REH,2019-04-07,41,6187
1e-4,REH,2019-04-23,41,6516
1e-4,REH,2019-05-09,41,6604
1e-4,REH,2019-05-25,41,6578
1e-4,REH,2019-06-10,41,6295
1e-4,REH,2019-06-26,41,6107
1e-4,REH,2019-07-12,41,5710
1e-4,REH,2019-07-28,41,6776
1e-4,REH,2019-08-13,41,6335
1e-4,REH,2019-08-29,41,6581
1e-4,REH,2019-09-14,41,7622
1e-4,REH,2019-09-30,41,6925
1e-4,REH,2019-10-16,41,7157
1e-4,REH,2019-11-01,41,5446
1e-4,REH,2019-11-17,41,5598
1e-4,REH,2019-12-03,41,6741
1e-4,REH,2019-12-19,41,4326
1e-4,REH,2020-01-01,41,6240
1e-4,REH,2020-01-17,41,3528
1e-4,REH,2020-02-02,41,5741
1e-4,REH,2020-02-18,41,5920
1e-4,REH,2020-03-05,41,5680
1e-4,REH,2020-03-21,41,6543
1e-4,REH,2020-04-06,41,6300
1e-4,REH,2020-04-22,41,7589
1e-4,REH,2020-05-08,41,6140
1e-4,REH,2020-05-24,41,6565
1e-4,REH,2020-06-09,41,7035
1e-4,REH,2020-06-25,41,6796
1e-4,REH,2020-07-11,41,6114
1e-4,REH,2020-07-27,41,6665
1e-4,REH,2020-08-12,41,6672
1e-4,REH,2020-08-28,41,6369
1e-4,REH,2020-09-13,41,5729
1e-4,REH,2020-09-29,41,6775
1e-4,REH,2020-10-15,41,5901
1e-4,REH,2020-10-31,41,5548
1e-4,REH,2020-11-16,41,5765
1e-4,REH,2020-12-02,41,388
1e-4,REH,2020-12-18,41,4652
1e-4,REH,2021-01-01,41,1249
1e-4,REH,2021-01-17,41,-400
1e-4,REH,2021-02-02,41,2667
1e-4,REH,2021-02-18,41,4253
1e-4,REH,2021-03-06,41,4737
1e-4,REH,2021-03-22,41,4817
1e-4,REH,2021-04-07,41,5984
1e-4,REH,2021-04-23,41,5584
1e-4,REH,2021-05-09,41,5624
1e-4,REH,2021-05-25,41,5821
1e-4,REH,2021-06-10,41,7573
1e-4,REH,2021-06-26,41,7051
1e-4,REH,2021-07-12,41,6349
1e-4,REH,2021-07-28,41,6870
1e-4,REH,2021-08-13,41,6250
1e-4,REH,2021-08-29,41,6383
1e-4,REH,2021-09-14,41,6396
1e-4,REH,2021-09-30,41,6688
1e-4,REH,2021-10-16,41,6081
1e-4,REH,2021-11-01,41,5412
1e-4,REH,2021-11-17,41,3933
1e-4,REH,2021-12-03,41,9125
1e-4,REH,2021-12-19,41,6883
1e-4,REH,2022-01-01,41,6115
1e-4,REH,2022-01-17,41,4406
1e-4,REH,2022-02-02,41,4705
1e-4,REH,2022-02-18,41,3868
1e-4,REH,2022-03-06,41,4662
1e-4,REH,2022-03-22,41,5054
1e-4,REH,2022-04-07,41,6639
1e-4,REH,2022-04-23,41,5734
1e-4,REH,2022-05-09,41,6351
1e-4,REH,2022-05-25,41,6414
1e-4,REH,2022-06-10,41,5860
1e-4,REH,2022-06-26,41,6916
1e-4,REH,2022-07-12,41,6523
1e-4,REH,2022-07-28,41,6543
1e-4,REH,2022-08-13,41,6533
1e-4,REH,2022-08-29,41,7105
1e-4,REH,2022-09-14,41,6816
1e-4,REH,2022-09-30,41,6820
1e-4,REH,2022-10-16,41,7401
1e-4,REH,2022-11-01,41,7019
1e-4,REH,2022-11-17,41,5441
1e-4,REH,2022-12-03,41,329
1e-4,REH,2022-12-19,41,4983
1e-4,REH,2023-01-01,41,4983
