scale,site,calendar_date,pixel,value
1e-4,SHA,2001-01-01,41,4489
1e-4,SHA,2001-01-17,41,7579
1e-4,SHA,2001-02-02,41,4768
1e-4,SHA,2001-02-18,41,5215
1e-4,SHA,2001-03-06,41,3848
1e-4,SHA,2001-03-22,41,4567
1e-4,SHA,2001-04-07,41,1577
1e-4,SHA,2001-04-23,41,6113
1e-4,SHA,2001-05-09,41,6886
1e-4,SHA,2001-05-25,41,6451
1e-4,SHA,2001-06-10,41,7245
1e-4,SHA,2001-06-26,41,6927
1e-4,SHA,2001-07-12,41,7213
1e-4,SHA,2001-07-28,41,7034
1e-4,SHA,2001-08-13,41,7326
1e-4,SHA,2001-08-29,41,4852
1e-4,SHA,2001-09-14,41,6567
1e-4,SHA,2001-09-30,41,5878
1e-4,SHA,2001-10-16,41,5608
1e-4,SHA,2001-11-01,41,5498
1e-4,SHA,2001-11-17,41,609
1e-4,SHA,2001-12-03,41,5188
1e-4,SHA,2001-12-19,41,4450
1e-4,SHA,2002-01-01,41,4450
1e-4,SHA,2002-01-17,41,4951
1e-4,SHA,2002-02-02,41,4245
1e-4,SHA,2002-02-18,41,5118
1e-4,SHA,2002-03-06,41,4179
1e-4,SHA,2002-03-22,41,5302
1e-4,SHA,2002-04-07,41,5240
1e-4,SHA,2002-04-23,41,6504
1e-4,SHA,2002-05-09,41,6634
1e-4,SHA,2002-05-25,41,7333
1e-4,SHA,2002-06-10,41,6702
1e-4,SHA,2002-06-26,41,6853
1e-4,SHA,2002-07-12,41,6726
1e-4,SHA,2002-07-28,41,6912
1e-4,SHA,2002-08-13,41,6415
1e-4,SHA,2002-08-29,41,6991
1e-4,SHA,2002-09-14,41,6927
1e-4,SHA,2002-09-30,41,6821
1e-4,SHA,2002-10-16,41,4973
1e-4,SHA,2002-11-01,41,6693
1e-4,SHA,2002-11-17,41,6552
1e-4,SHA,2002-12-03,41,1878
1e-4,SHA,2002-12-19,41,2343
1e-4,SHA,2003-01-01,41,2343
1e-4,SHA,2003-01-17,41,5145
1e-4,SHA,2003-02-02,41,355
1e-4,SHA,2003-02-18,41,618
1e-4,SHA,2003-03-06,41,4815
1e-4,SHA,2003-03-22,41,4942
1e-4,SHA,2003-04-07,41,6232
1e-4,SHA,2003-04-23,41,6184
1e-4,SHA,2003-05-09,41,7064
1e-4,SHA,2003-05-25,41,6702
1e-4,SHA,2003-06-10,41,6282
1e-4,SHA,2003-06-26,41,5301
1e-4,SHA,2003-07-12,41,6097
1e-4,SHA,2003-07-28,41,6287
1e-4,SHA,2003-08-13,41,6148
1e-4,SHA,2003-08-29,41,6023
1e-4,SHA,2003-09-14,41,6859
1e-4,SHA,2003-09-30,41,6820
1e-4,SHA,2003-10-16,41,7099
1e-4,SHA,2003-11-01,41,5498
1e-4,SHA,2003-11-17,41,1668
1e-4,SHA,2003-12-03,41,4873
1e-4,SHA,2003-12-19,41,5149
1e-4,SHA,2004-01-01,41,2743
1e-4,SHA,2004-01-17,41,5198
1e-4,SHA,2004-02-02,41,3784
1e-4,SHA,2004-02-18,41,5118
1e-4,SHA,2004-03-05,41,5492
1e-4,SHA,2004-03-21,41,4682
1e-4,SHA,2004-04-06,41,5424
1e-4,SHA,2004-04-22,41,6401
1e-4,SHA,2004-05-08,41,6452
1e-4,SHA,2004-05-24,41,6496
1e-4,SHA,2004-06-09,41,6848
1e-4,SHA,2004-06-25,41,6657
1e-4,SHA,2004-07-11,41,7263
1e-4,SHA,2004-07-27,41,6299
1e-4,SHA,2004-08-12,41,7332
1e-4,SHA,2004-08-28,41,6577
1e-4,SHA,2004-09-13,41,7074
1e-4,SHA,2004-09-29,41,6703
1e-4,SHA,2004-10-15,41,6300
1e-4,SHA,2004-10-31,41,6463
1e-4,SHA,2004-11-16,41,2720
1e-4,SHA,2004-12-02,41,1415
1e-4,SHA,2004-12-18,41,5478
1e-4,SHA,2005-01-01,41,4175
1e-4,SHA,2005-01-17,41,1363
1e-4,SHA,2005-02-02,41,4376
1e-4,SHA,2005-02-18,41,721
1e-4,SHA,2005-03-06,41,4287
1e-4,SHA,2005-03-22,41,4933
1e-4,SHA,2005-04-07,41,5583
1e-4,SHA,2005-04-23,41,6266
1e-4,SHA,2005-05-09,41,6914
1e-4,SHA,2005-05-25,41,7003
1e-4,SHA,2005-06-10,41,6944
1e-4,SHA,2005-06-26,41,6397
1e-4,SHA,2005-07-12,41,6494
1e-4,SHA,2005-07-28,41,6932
1e-4,SHA,2005-08-13,41,7037
1e-4,SHA,2005-08-29,41,6890
1e-4,SHA,2005-09-14,41,7337
1e-4,SHA,2005-09-30,41,6396
1e-4,SHA,2005-10-16,41,5913
1e-4,SHA,2005-11-01,41,5618
1e-4,SHA,2005-11-17,41,660
1e-4,SHA,2005-12-03,41,5020
1e-4,SHA,2005-12-19,41,650
1e-4,SHA,2006-01-01,41,650
1e-4,SHA,2006-01-17,41,3921
1e-4,SHA,2006-02-02,41,1687
1e-4,SHA,2006-02-18,41,4130
1e-4,SHA,2006-03-06,41,2351
1e-4,SHA,2006-03-22,41,4273
1e-4,SHA,2006-04-07,41,4659
1e-4,SHA,2006-04-23,41,5650
1e-4,SHA,2006-05-09,41,6381
1e-4,SHA,2006-05-25,41,6425
1e-4,SHA,2006-06-10,41,6766
1e-4,SHA,2006-06-26,41,6820
1e-4,SHA,2006-07-12,41,6979
1e-4,SHA,2006-07-28,41,6216
1e-4,SHA,2006-08-13,41,6813
1e-4,SHA,2006-08-29,41,6783
1e-4,SHA,2006-09-14,41,7177
1e-4,SHA,2006-09-30,41,6308
1e-4,SHA,2006-10-16,41,6344
1e-4,SHA,2006-11-01,41,5682
1e-4,SHA,2006-11-17,41,4808
1e-4,SHA,2006-12-03,41,3683
1e-4,SHA,2006-12-19,41,5487
1e-4,SHA,2007-01-01,41,5290
1e-4,SHA,2007-01-17,41,5141
1e-4,SHA,2007-02-02,41,5379
1e-4,SHA,2007-02-18,41,5417
1e-4,SHA,2007-03-06,41,5399
1e-4,SHA,2007-03-22,41,5612
1e-4,SHA,2007-04-07,41,6005
1e-4,SHA,2007-04-23,41,6102
1e-4,SHA,2007-05-09,41,6814
1e-4,SHA,2007-05-25,41,6241
1e-4,SHA,2007-06-10,41,6837
1e-4,SHA,2007-06-26,41,4147
1e-4,SHA,2007-07-12,41,7252
1e-4,SHA,2007-07-28,41,7103
1e-4,SHA,2007-08-13,41,6742
1e-4,SHA,2007-08-29,41,6827
1e-4,SHA,2007-09-14,41,6209
1e-4,SHA,2007-09-30,41,6704
1e-4,SHA,2007-10-16,41,5845
1e-4,SHA,2007-11-01,41,5793
1e-4,SHA,2007-11-17,41,4893
1e-4,SHA,2007-12-03,41,5055
1e-4,SHA,2007-12-19,41,706
1e-4,SHA,2008-01-01,41,4811
1e-4,SHA,2008-01-17,41,4577
1e-4,SHA,2008-02-02,41,5169
1e-4,SHA,2008-02-18,41,5001
1e-4,SHA,2008-03-05,41,4633
1e-4,SHA,2008-03-21,41,4776
1e-4,SHA,2008-04-06,41,4911
1e-4,SHA,2008-04-22,41,6007
1e-4,SHA,2008-05-08,41,6350
1e-4,SHA,2008-05-24,41,6546
1e-4,SHA,2008-06-09,41,6652
1e-4,SHA,2008-06-25,41,6641
1e-4,SHA,2008-07-11,41,6775
1e-4,SHA,2008-07-27,41,6063
1e-4,SHA,2008-08-12,41,6747
1e-4,SHA,2008-08-28,41,6773
1e-4,SHA,2008-09-13,41,5284
1e-4,SHA,2008-09-29,41,6431
1e-4,SHA,2008-10-15,41,5969
1e-4,SHA,2008-10-31,41,4171
1e-4,SHA,2008-11-16,41,585
1e-4,SHA,2008-12-02,41,1549
1e-4,SHA,2008-12-18,41,4819
1e-4,SHA,2009-01-01,41,711
1e-4,SHA,2009-01-17,41,990
1e-4,SHA,2009-02-02,41,3000
1e-4,SHA,2009-02-18,41,3586
1e-4,SHA,2009-03-06,41,4034
1e-4,SHA,2009-03-22,41,5202
1e-4,SHA,2009-04-07,41,5176
1e-4,SHA,2009-04-23,41,6526
1e-4,SHA,2009-05-09,41,6407
1e-4,SHA,2009-05-25,41,6582
1e-4,SHA,2009-06-10,41,6697
1e-4,SHA,2009-06-26,41,6678
1e-4,SHA,2009-07-12,41,6733
1e-4,SHA,2009-07-28,41,7139
1e-4,SHA,2009-08-13,41,6706
1e-4,SHA,2009-08-29,41,6076
1e-4,SHA,2009-09-14,41,6836
1e-4,SHA,2009-09-30,41,6766
1e-4,SHA,2009-10-16,41,5680
1e-4,SHA,2009-11-01,41,6077
1e-4,SHA,2009-11-17,41,5614
1e-4,SHA,2009-12-03,41,5592
1e-4,SHA,2009-12-19,41,5197
1e-4,SHA,2010-01-01,41,1168
1e-4,SHA,2010-01-17,41,436
1e-4,SHA,2010-02-02,41,425
1e-4,SHA,2010-02-18,41,4368
1e-4,SHA,2010-03-06,41,4317
1e-4,SHA,2010-03-22,41,5481
1e-4,SHA,2010-04-07,41,5753
1e-4,SHA,2010-04-23,41,5150
1e-4,SHA,2010-05-09,41,6749
1e-4,SHA,2010-05-25,41,6759
1e-4,SHA,2010-06-10,41,6910
1e-4,SHA,2010-06-26,41,6563
1e-4,SHA,2010-07-12,41,6738
1e-4,SHA,2010-07-28,41,6795
1e-4,SHA,2010-08-13,41,7132
1e-4,SHA,2010-08-29,41,6861
1e-4,SHA,2010-09-14,41,6408
1e-4,SHA,2010-09-30,41,6104
1e-4,SHA,2010-10-16,41,6473
1e-4,SHA,2010-11-01,41,6031
1e-4,SHA,2010-11-17,41,2055
1e-4,SHA,2010-12-03,41,6422
1e-4,SHA,2010-12-19,41,387
1e-4,SHA,2011-01-01,41,4070
1e-4,SHA,2011-01-17,41,337
1e-4,SHA,2011-02-02,41,4702
1e-4,SHA,2011-02-18,41,4496
1e-4,SHA,2011-03-06,41,5289
1e-4,SHA,2011-03-22,41,5817
1e-4,SHA,2011-04-07,41,5563
1e-4,SHA,2011-04-23,41,6203
1e-4,SHA,2011-05-09,41,5581
1e-4,SHA,2011-05-25,41,6240
1e-4,SHA,2011-06-10,41,6710
1e-4,SHA,2011-06-26,41,6342
1e-4,SHA,2011-07-12,41,6212
1e-4,SHA,2011-07-28,41,6475
1e-4,SHA,2011-08-13,41,6678
1e-4,SHA,2011-08-29,41,7042
1e-4,SHA,2011-09-14,41,6975
1e-4,SHA,2011-09-30,41,6633
1e-4,SHA,2011-10-16,41,6582
1e-4,SHA,2011-11-01,41,5680
1e-4,SHA,2011-11-17,41,4641
1e-4,SHA,2011-12-03,41,5116
1e-4,SHA,2011-12-19,41,4460
1e-4,SHA,2012-01-01,41,3829
1e-4,SHA,2012-01-17,41,3697
1e-4,SHA,2012-02-02,41,704
1e-4,SHA,2012-02-18,41,3956
1e-4,SHA,2012-03-05,41,3758
1e-4,SHA,2012-03-21,41,4119
1e-4,SHA,2012-04-06,41,2093
1e-4,SHA,2012-04-22,41,5779
1e-4,SHA,2012-05-08,41,6414
1e-4,SHA,2012-05-24,41,6729
1e-4,SHA,2012-06-09,41,6231
1e-4,SHA,2012-06-25,41,6952
1e-4,SHA,2012-07-11,41,6831
1e-4,SHA,2012-07-27,41,6537
1e-4,SHA,2012-08-12,41,6901
1e-4,SHA,2012-08-28,41,6769
1e-4,SHA,2012-09-13,41,6913
1e-4,SHA,2012-09-29,41,3224
1e-4,SHA,2012-10-15,41,6214
1e-4,SHA,2012-10-31,41,5477
1e-4,SHA,2012-11-16,41,2741
1e-4,SHA,2012-12-02,41,500
1e-4,SHA,2012-12-18,41,6156
1e-4,SHA,2013-01-01,41,6156
1e-4,SHA,2013-01-17,41,6014
1e-4,SHA,2013-02-02,41,462
1e-4,SHA,2013-02-18,41,4557
1e-4,SHA,2013-03-06,41,4641
1e-4,SHA,2013-03-22,41,4274
1e-4,SHA,2013-04-07,41,5138
1e-4,SHA,2013-04-23,41,5891
1e-4,SHA,2013-05-09,41,6758
1e-4,SHA,2013-05-25,41,6422
1e-4,SHA,2013-06-10,41,6329
1e-4,SHA,2013-06-26,41,5990
1e-4,SHA,2013-07-12,41,5924
1e-4,SHA,2013-07-28,41,6358
1e-4,SHA,2013-08-13,41,6268
1e-4,SHA,2013-08-29,41,6303
1e-4,SHA,2013-09-14,41,6173
1e-4,SHA,2013-09-30,41,5802
1e-4,SHA,2013-10-16,41,6376
1e-4,SHA,2013-11-01,41,3469
1e-4,SHA,2013-11-17,41,6058
1e-4,SHA,2013-12-03,41,5874
1e-4,SHA,2013-12-19,41,4722
1e-4,SHA,2014-01-01,41,4937
1e-4,SHA,2014-01-17,41,4885
1e-4,SHA,2014-02-02,41,5309
1e-4,SHA,2014-02-18,41,4316
1e-4,SHA,2014-03-06,41,4963
1e-4,SHA,2014-03-22,41,3510
1e-4,SHA,2014-04-07,41,5879
1e-4,SHA,2014-04-23,41,5579
1e-4,SHA,2014-05-09,41,6689
1e-4,SHA,2014-05-25,41,5788
1e-4,SHA,2014-06-10,41,5930
1e-4,SHA,2014-06-26,41,5747
1e-4,SHA,2014-07-12,41,6378
1e-4,SHA,2014-07-28,41,5781
1e-4,SHA,2014-08-13,41,4993
1e-4,SHA,2014-08-29,41,5111
1e-4,SHA,2014-09-14,41,6798
1e-4,SHA,2014-09-30,41,6168
1e-4,SHA,2014-10-16,41,6005
1e-4,SHA,2014-11-01,41,5747
1e-4,SHA,2014-11-17,41,1559
1e-4,SHA,2014-12-03,41,5618
1e-4,SHA,2014-12-19,41,5533
1e-4,SHA,2015-01-01,41,5316
1e-4,SHA,2015-01-17,41,758
1e-4,SHA,2015-02-02,41,1327
1e-4,SHA,2015-02-18,41,3771
1e-4,SHA,2015-03-06,41,4519
1e-4,SHA,2015-03-22,41,4272
1e-4,SHA,2015-04-07,41,5544
1e-4,SHA,2015-04-23,41,4956
1e-4,SHA,2015-05-09,41,5725
1e-4,SHA,2015-05-25,41,6260
1e-4,SHA,2015-06-10,41,6055
1e-4,SHA,2015-06-26,41,6094
1e-4,SHA,2015-07-12,41,6225
1e-4,SHA,2015-07-28,41,6369
1e-4,SHA,2015-08-13,41,6041
1e-4,SHA,2015-08-29,41,6475
1e-4,SHA,2015-09-14,41,4884
1e-4,SHA,2015-09-30,41,6390
1e-4,SHA,2015-10-16,41,5561
1e-4,SHA,2015-11-01,41,5150
1e-4,SHA,2015-11-17,41,5747
1e-4,SHA,2015-12-03,41,4462
1e-4,SHA,2015-12-19,41,2641
1e-4,SHA,2016-01-01,41,1807
1e-4,SHA,2016-01-17,41,5126
1e-4,SHA,2016-02-02,41,3890
1e-4,SHA,2016-02-18,41,3950
1e-4,SHA,2016-03-05,41,4869
1e-4,SHA,2016-03-21,41,5002
1e-4,SHA,2016-04-06,41,5438
1e-4,SHA,2016-04-22,41,5430
