scale,site,calendar_date,pixel,value
1e-4,SIO,2001-01-01,41,4077
1e-4,SIO,2001-01-17,41,4553
1e-4,SIO,2001-02-02,41,3631
1e-4,SIO,2001-02-18,41,4043
1e-4,SIO,2001-03-06,41,5487
1e-4,SIO,2001-03-22,41,6278
1e-4,SIO,2001-04-07,41,6452
1e-4,SIO,2001-04-23,41,6608
1e-4,SIO,2001-05-09,41,7524
1e-4,SIO,2001-05-25,41,6635
1e-4,SIO,2001-06-10,41,6563
1e-4,SIO,2001-06-26,41,6301
1e-4,SIO,2001-07-12,41,6364
1e-4,SIO,2001-07-28,41,6649
1e-4,SIO,2001-08-13,41,6101
1e-4,SIO,2001-08-29,41,6840
1e-4,SIO,2001-09-14,41,5780
1e-4,SIO,2001-09-30,41,6176
1e-4,SIO,2001-10-16,41,5496
1e-4,SIO,2001-11-01,41,5657
1e-4,SIO,2001-11-17,41,4780
1e-4,SIO,2001-12-03,41,4310
1e-4,SIO,2001-12-19,41,3788
1e-4,SIO,2002-01-01,41,3297
1e-4,SIO,2002-01-17,41,2709
1e-4,SIO,2002-02-02,41,3060
1e-4,SIO,2002-02-18,41,2695
1e-4,SIO,2002-03-06,41,2968
1e-4,SIO,2002-03-22,41,4257
1e-4,SIO,2002-04-07,41,5308
1e-4,SIO,2002-04-23,41,5115
1e-4,SIO,2002-05-09,41,5931
1e-4,SIO,2002-05-25,41,6153
1e-4,SIO,2002-06-10,41,6622
1e-4,SIO,2002-06-26,41,6360
1e-4,SIO,2002-07-12,41,5940
1e-4,SIO,2002-07-28,41,6159
1e-4,SIO,2002-08-13,41,6247
1e-4,SIO,2002-08-29,41,6573
1e-4,SIO,2002-09-14,41,6463
1e-4,SIO,2002-09-30,41,5852
1e-4,SIO,2002-10-16,41,6069
1e-4,SIO,2002-11-01,41,5432
1e-4,SIO,2002-11-17,41,5969
1e-4,SIO,2002-12-03,41,4957
1e-4,SIO,2002-12-19,41,5036
1e-4,SIO,2003-01-01,41,4381
1e-4,SIO,2003-01-17,41,3523
1e-4,SIO,2003-02-02,41,303
1e-4,SIO,2003-02-18,41,2946
1e-4,SIO,2003-03-06,41,3411
1e-4,SIO,2003-03-22,41,4683
1e-4,SIO,2003-04-07,41,4684
1e-4,SIO,2003-04-23,41,6369
1e-4,SIO,2003-05-09,41,6333
1e-4,SIO,2003-05-25,41,6466
1e-4,SIO,2003-06-10,41,5873
1e-4,SIO,2003-06-26,41,6250
1e-4,SIO,2003-07-12,41,5626
1e-4,SIO,2003-07-28,41,6192
1e-4,SIO,2003-08-13,41,6268
1e-4,SIO,2003-08-29,41,6510
1e-4,SIO,2003-09-14,41,5951
1e-4,SIO,2003-09-30,41,5720
1e-4,SIO,2003-10-16,41,5074
1e-4,SIO,2003-11-01,41,4907
1e-4,SIO,2003-11-17,41,4559
1e-4,SIO,2003-12-03,41,4349
1e-4,SIO,2003-12-19,41,5071
1e-4,SIO,2004-01-01,41,2634
1e-4,SIO,2004-01-17,41,421
1e-4,SIO,2004-02-02,41,3612
1e-4,SIO,2004-02-18,41,3051
1e-4,SIO,2004-03-05,41,3564
1e-4,SIO,2004-03-21,41,4611
1e-4,SIO,2004-04-06,41,5108
1e-4,SIO,2004-04-22,41,6176
1e-4,SIO,2004-05-08,41,6519
1e-4,SIO,2004-05-24,41,6013
1e-4,SIO,2004-06-09,41,5269
1e-4,SIO,2004-06-25,41,5806
1e-4,SIO,2004-07-11,41,6216
1e-4,SIO,2004-07-27,41,5450
1e-4,SIO,2004-08-12,41,6326
1e-4,SIO,2004-08-28,41,6456
1e-4,SIO,2004-09-13,41,6369
1e-4,SIO,2004-09-29,41,5246
1e-4,SIO,2004-10-15,41,5511
1e-4,SIO,2004-10-31,41,5222
1e-4,SIO,2004-11-16,41,4941
1e-4,SIO,2004-12-02,41,3686
1e-4,SIO,2004-12-18,41,59
1e-4,SIO,2005-01-01,41,686
1e-4,SIO,2005-01-17,41,348
1e-4,SIO,2005-02-02,41,-191
1e-4,SIO,2005-02-18,41,2181
1e-4,SIO,2005-03-06,41,2935
1e-4,SIO,2005-03-22,41,5279
1e-4,SIO,2005-04-07,41,6643
1e-4,SIO,2005-04-23,41,5954
1e-4,SIO,2005-05-09,41,6487
1e-4,SIO,2005-05-25,41,6072
1e-4,SIO,2005-06-10,41,6355
1e-4,SIO,2005-06-26,41,6624
1e-4,SIO,2005-07-12,41,5977
1e-4,SIO,2005-07-28,41,5351
1e-4,SIO,2005-08-13,41,6923
1e-4,SIO,2005-08-29,41,6786
1e-4,SIO,2005-09-14,41,6071
1e-4,SIO,2005-09-30,41,6590
1e-4,SIO,2005-10-16,41,5620
1e-4,SIO,2005-11-01,41,6155
1e-4,SIO,2005-11-17,41,4028
1e-4,SIO,2005-12-03,41,113
1e-4,SIO,2005-12-19,41,787
1e-4,SIO,2006-01-01,41,-118
1e-4,SIO,2006-01-17,41,-74
1e-4,SIO,2006-02-02,41,2043
1e-4,SIO,2006-02-18,41,2298
1e-4,SIO,2006-03-06,41,2698
1e-4,SIO,2006-03-22,41,4280
1e-4,SIO,2006-04-07,41,4180
1e-4,SIO,2006-04-23,41,5116
1e-4,SIO,2006-05-09,41,6055
1e-4,SIO,2006-05-25,41,5269
1e-4,SIO,2006-06-10,41,5883
1e-4,SIO,2006-06-26,41,6145
1e-4,SIO,2006-07-12,41,5583
1e-4,SIO,2006-07-28,41,5828
1e-4,SIO,2006-08-13,41,6066
1e-4,SIO,2006-08-29,41,6715
1e-4,SIO,2006-09-14,41,6500
1e-4,SIO,2006-09-30,41,7104
1e-4,SIO,2006-10-16,41,5966
1e-4,SIO,2006-11-01,41,4985
1e-4,SIO,2006-11-17,41,4049
1e-4,SIO,2006-12-03,41,4844
1e-4,SIO,2006-12-19,41,3414
1e-4,SIO,2007-01-01,41,3817
1e-4,SIO,2007-01-17,41,3296
