scale,site,calendar_date,pixel,value
1e-4,STG,2001-01-01,41,-225
1e-4,STG,2001-01-17,41,7146
1e-4,STG,2001-02-02,41,6063
1e-4,STG,2001-02-18,41,-193
1e-4,STG,2001-03-06,41,6312
1e-4,STG,2001-03-22,41,6745
1e-4,STG,2001-04-07,41,898
1e-4,STG,2001-04-23,41,7162
1e-4,STG,2001-05-09,41,7128
1e-4,STG,2001-05-25,41,7614
1e-4,STG,2001-06-10,41,7575
1e-4,STG,2001-06-26,41,7970
1e-4,STG,2001-07-12,41,7942
1e-4,STG,2001-07-28,41,7686
1e-4,STG,2001-08-13,41,8148
1e-4,STG,2001-08-29,41,7562
1e-4,STG,2001-09-14,41,8104
1e-4,STG,2001-09-30,41,7545
1e-4,STG,2001-10-16,41,6496
1e-4,STG,2001-11-01,41,7038
1e-4,STG,2001-11-17,41,2079
1e-4,STG,2001-12-03,41,1296
1e-4,STG,2001-12-19,41,-82
1e-4,STG,2002-01-01,41,-174
1e-4,STG,2002-01-17,41,5957
1e-4,STG,2002-02-02,41,5252
1e-4,STG,2002-02-18,41,6520
1e-4,STG,2002-03-06,41,6158
1e-4,STG,2002-03-22,41,7000
1e-4,STG,2002-04-07,41,6519
1e-4,STG,2002-04-23,41,7898
1e-4,STG,2002-05-09,41,7139
1e-4,STG,2002-05-25,41,8178
1e-4,STG,2002-06-10,41,6986
1e-4,STG,2002-06-26,41,8002
1e-4,STG,2002-07-12,41,7445
1e-4,STG,2002-07-28,41,7712
1e-4,STG,2002-08-13,41,7606
1e-4,STG,2002-08-29,41,7781
1e-4,STG,2002-09-14,41,7469
1e-4,STG,2002-09-30,41,7715
1e-4,STG,2002-10-16,41,6716
1e-4,STG,2002-11-01,41,5217
1e-4,STG,2002-11-17,41,3958
1e-4,STG,2002-12-03,41,500
1e-4,STG,2002-12-19,41,7357
1e-4,STG,2003-01-01,41,7357
1e-4,STG,2003-01-17,41,801
1e-4,STG,2003-02-02,41,-51
1e-4,STG,2003-02-18,41,30
1e-4,STG,2003-03-06,41,5896
1e-4,STG,2003-03-22,41,7137
1e-4,STG,2003-04-07,41,7502
1e-4,STG,2003-04-23,41,6979
1e-4,STG,2003-05-09,41,7347
1e-4,STG,2003-05-25,41,7518
1e-4,STG,2003-06-10,41,7718
1e-4,STG,2003-06-26,41,7413
1e-4,STG,2003-07-12,41,7279
1e-4,STG,2003-07-28,41,8129
