scale,site,calendar_date,pixel,value
1e-4,TAE,2001-01-01,41,2718
1e-4,TAE,2001-01-17,41,5323
1e-4,TAE,2001-02-02,41,5945
1e-4,TAE,2001-02-18,41,4827
1e-4,TAE,2001-03-06,41,5377
1e-4,TAE,2001-03-22,41,7179
1e-4,TAE,2001-04-07,41,6696
1e-4,TAE,2001-04-23,41,7253
1e-4,TAE,2001-05-09,41,6615
1e-4,TAE,2001-05-25,41,7579
1e-4,TAE,2001-06-10,41,7967
1e-4,TAE,2001-06-26,41,6174
1e-4,TAE,2001-07-12,41,6997
1e-4,TAE,2001-07-28,41,6263
1e-4,TAE,2001-08-13,41,7346
1e-4,TAE,2001-08-29,41,8163
1e-4,TAE,2001-09-14,41,7339
1e-4,TAE,2001-09-30,41,7488
1e-4,TAE,2001-10-16,41,7460
1e-4,TAE,2001-11-01,41,7318
1e-4,TAE,2001-11-17,41,3277
1e-4,TAE,2001-12-03,41,1148
1e-4,TAE,2001-12-19,41,309
1e-4,TAE,2002-01-01,41,1129
1e-4,TAE,2002-01-17,41,4649
1e-4,TAE,2002-02-02,41,3827
1e-4,TAE,2002-02-18,41,5627
1e-4,TAE,2002-03-06,41,4787
1e-4,TAE,2002-03-22,41,6298
1e-4,TAE,2002-04-07,41,5929
1e-4,TAE,2002-04-23,41,5983
1e-4,TAE,2002-05-09,41,4226
1e-4,TAE,2002-05-25,41,7037
1e-4,TAE,2002-06-10,41,6138
1e-4,TAE,2002-06-26,41,6806
1e-4,TAE,2002-07-12,41,6447
1e-4,TAE,2002-07-28,41,7129
1e-4,TAE,2002-08-13,41,6434
1e-4,TAE,2002-08-29,41,7317
1e-4,TAE,2002-09-14,41,7206
1e-4,TAE,2002-09-30,41,7400
1e-4,TAE,2002-10-16,41,5688
1e-4,TAE,2002-11-01,41,6108
1e-4,TAE,2002-11-17,41,5733
1e-4,TAE,2002-12-03,41,1274
1e-4,TAE,2002-12-19,41,5863
1e-4,TAE,2003-01-01,41,5863
1e-4,TAE,2003-01-17,41,438
1e-4,TAE,2003-02-02,41,47
1e-4,TAE,2003-02-18,41,49
1e-4,TAE,2003-03-06,41,5064
1e-4,TAE,2003-03-22,41,5832
1e-4,TAE,2003-04-07,41,5668
1e-4,TAE,2003-04-23,41,6456
1e-4,TAE,2003-05-09,41,6937
1e-4,TAE,2003-05-25,41,7415
1e-4,TAE,2003-06-10,41,7391
1e-4,TAE,2003-06-26,41,7102
1e-4,TAE,2003-07-12,41,5994
1e-4,TAE,2003-07-28,41,6331
1e-4,TAE,2003-08-13,41,5472
1e-4,TAE,2003-08-29,41,5434
1e-4,TAE,2003-09-14,41,6389
1e-4,TAE,2003-09-30,41,7904
1e-4,TAE,2003-10-16,41,7261
1e-4,TAE,2003-11-01,41,7076
1e-4,TAE,2003-11-17,41,6056
1e-4,TAE,2003-12-03,41,5730
1e-4,TAE,2003-12-19,41,3811
1e-4,TAE,2004-01-01,41,3930
1e-4,TAE,2004-01-17,41,501
1e-4,TAE,2004-02-02,41,2307
1e-4,TAE,2004-02-18,41,56
1e-4,TAE,2004-03-05,41,5178
1e-4,TAE,2004-03-21,41,6377
1e-4,TAE,2004-04-06,41,7468
1e-4,TAE,2004-04-22,41,7076
1e-4,TAE,2004-05-08,41,6764
1e-4,TAE,2004-05-24,41,7154
1e-4,TAE,2004-06-09,41,7573
1e-4,TAE,2004-06-25,41,5756
1e-4,TAE,2004-07-11,41,6302
1e-4,TAE,2004-07-27,41,4735
1e-4,TAE,2004-08-12,41,6883
1e-4,TAE,2004-08-28,41,6059
1e-4,TAE,2004-09-13,41,6431
1e-4,TAE,2004-09-29,41,6262
1e-4,TAE,2004-10-15,41,6658
1e-4,TAE,2004-10-31,41,7269
1e-4,TAE,2004-11-16,41,6301
1e-4,TAE,2004-12-02,41,5040
1e-4,TAE,2004-12-18,41,5949
1e-4,TAE,2005-01-01,41,6097
1e-4,TAE,2005-01-17,41,2
1e-4,TAE,2005-02-02,41,119
1e-4,TAE,2005-02-18,41,129
1e-4,TAE,2005-03-06,41,4607
1e-4,TAE,2005-03-22,41,6492
1e-4,TAE,2005-04-07,41,7417
1e-4,TAE,2005-04-23,41,7414
1e-4,TAE,2005-05-09,41,7539
1e-4,TAE,2005-05-25,41,7233
1e-4,TAE,2005-06-10,41,6444
1e-4,TAE,2005-06-26,41,6470
1e-4,TAE,2005-07-12,41,6092
1e-4,TAE,2005-07-28,41,5360
1e-4,TAE,2005-08-13,41,5599
1e-4,TAE,2005-08-29,41,6784
1e-4,TAE,2005-09-14,41,7565
1e-4,TAE,2005-09-30,41,6911
1e-4,TAE,2005-10-16,41,6964
1e-4,TAE,2005-11-01,41,7033
1e-4,TAE,2005-11-17,41,5706
1e-4,TAE,2005-12-03,41,4538
1e-4,TAE,2005-12-19,41,100
1e-4,TAE,2006-01-01,41,7581
1e-4,TAE,2006-01-17,41,4569
1e-4,TAE,2006-02-02,41,551
