scale,site,calendar_date,pixel,value
1e-4,WAE,2001-01-01,41,5726
1e-4,WAE,2001-01-17,41,4867
1e-4,WAE,2001-02-02,41,5012
1e-4,WAE,2001-02-18,41,1469
1e-4,WAE,2001-03-06,41,5649
1e-4,WAE,2001-03-22,41,6484
1e-4,WAE,2001-04-07,41,5946
1e-4,WAE,2001-04-23,41,6113
1e-4,WAE,2001-05-09,41,6056
1e-4,WAE,2001-05-25,41,5653
1e-4,WAE,2001-06-10,41,6086
1e-4,WAE,2001-06-26,41,6480
1e-4,WAE,2001-07-12,41,6548
1e-4,WAE,2001-07-28,41,6398
1e-4,WAE,2001-08-13,41,6483
1e-4,WAE,2001-08-29,41,6542
1e-4,WAE,2001-09-14,41,6473
1e-4,WAE,2001-09-30,41,6900
1e-4,WAE,2001-10-16,41,6125
1e-4,WAE,2001-11-01,41,6333
1e-4,WAE,2001-11-17,41,2729
1e-4,WAE,2001-12-03,41,4251
1e-4,WAE,2001-12-19,41,521
1e-4,WAE,2002-01-01,41,754
1e-4,WAE,2002-01-17,41,4402
1e-4,WAE,2002-02-02,41,4049
1e-4,WAE,2002-02-18,41,5193
1e-4,WAE,2002-03-06,41,4984
1e-4,WAE,2002-03-22,41,5892
1e-4,WAE,2002-04-07,41,5688
1e-4,WAE,2002-04-23,41,5876
1e-4,WAE,2002-05-09,41,6250
1e-4,WAE,2002-05-25,41,6272
1e-4,WAE,2002-06-10,41,5996
1e-4,WAE,2002-06-26,41,6642
1e-4,WAE,2002-07-12,41,6457
1e-4,WAE,2002-07-28,41,6061
1e-4,WAE,2002-08-13,41,6532
1e-4,WAE,2002-08-29,41,6900
1e-4,WAE,2002-09-14,41,6721
1e-4,WAE,2002-09-30,41,6217
1e-4,WAE,2002-10-16,41,6259
1e-4,WAE,2002-11-01,41,6378
1e-4,WAE,2002-11-17,41,5696
1e-4,WAE,2002-12-03,41,954
1e-4,WAE,2002-12-19,41,3949
1e-4,WAE,2003-01-01,41,3949
1e-4,WAE,2003-01-17,41,5265
1e-4,WAE,2003-02-02,41,275
1e-4,WAE,2003-02-18,41,227
1e-4,WAE,2003-03-06,41,4400
1e-4,WAE,2003-03-22,41,5884
1e-4,WAE,2003-04-07,41,6020
1e-4,WAE,2003-04-23,41,5829
1e-4,WAE,2003-05-09,41,6046
1e-4,WAE,2003-05-25,41,6226
1e-4,WAE,2003-06-10,41,6573
1e-4,WAE,2003-06-26,41,5957
1e-4,WAE,2003-07-12,41,6058
1e-4,WAE,2003-07-28,41,6737
1e-4,WAE,2003-08-13,41,6193
1e-4,WAE,2003-08-29,41,5483
1e-4,WAE,2003-09-14,41,6402
1e-4,WAE,2003-09-30,41,5708
1e-4,WAE,2003-10-16,41,5744
1e-4,WAE,2003-11-01,41,4919
1e-4,WAE,2003-11-17,41,3953
1e-4,WAE,2003-12-03,41,4419
1e-4,WAE,2003-12-19,41,626
1e-4,WAE,2004-01-01,41,3507
