Date;KOP;GUT;GVE;CGI;BIE;VEV;AIG;EVI;VIS;MAG
24.06.2019 00:00;15.1;16.2;17.7;17.6;17.4;20.4;16.4;18.8;16.9;17.3
24.06.2019 01:00;14.3;16;16.9;17;16.8;19.9;15.4;19.3;16.8;17.1
24.06.2019 02:00;13.8;15.8;16.2;16.4;16.1;19.8;14.7;19.5;16;16.5
24.06.2019 03:00;13.2;15.1;15.4;16.1;15.4;19.2;15.4;19.8;16;15.9
24.06.2019 04:00;13.1;15.1;14.9;15.9;14.4;18.8;13.7;19.8;15.8;15.6
24.06.2019 05:00;13.8;16.9;15.3;16.3;15.2;18.5;14.1;19.3;15.1;16.7
24.06.2019 06:00;16.3;18.7;17.9;18.6;18.5;19.8;17.4;18.9;17.4;19.5
24.06.2019 07:00;18.8;19.5;19.9;20.2;20.4;20.7;21;19.8;19.8;21.2
24.06.2019 08:00;20.9;20.5;21.6;21.1;21.4;20.9;22.2;21.8;21.9;23
24.06.2019 09:00;22.9;22;22.9;22.3;23;21.5;23.4;23.7;24;24.9
24.06.2019 10:00;25.5;23.7;24.3;23.6;24.2;22.6;23.3;25.8;25.9;26.4
24.06.2019 11:00;26.7;25.5;25.7;24.6;24.1;22.7;24.6;25.9;28;27.7
24.06.2019 12:00;28;27.1;26.9;25.3;24.6;24;26;26.9;29.8;28.6
24.06.2019 13:00;28.8;28.5;27.5;27;25.9;24.5;26.2;27.6;31.3;29.3
24.06.2019 14:00;29.8;29.4;28.3;27.5;26.8;24.6;26.9;28.6;32.6;30.1
24.06.2019 15:00;30.4;29.8;28.4;27.3;26.6;25.2;27.3;29.2;32.3;30.2
24.06.2019 16:00;30.4;30.1;27.7;26.6;25.8;25.5;28;29;31.1;30
24.06.2019 17:00;29.1;29.8;27.3;26.9;25.6;25.9;26.7;27.8;30;29.5
24.06.2019 18:00;27.6;29.3;26.6;26.8;25;25.9;25.3;26.6;28.1;28.3
24.06.2019 19:00;24.9;25.6;25.6;25.9;23.4;25.8;23.7;25.4;25.6;25.6
24.06.2019 20:00;22.7;22;23.5;23.7;21.3;25.3;21.6;23.7;22.6;23.4
24.06.2019 21:00;20.1;23.3;22.4;21.4;19.9;23.9;20.2;22.5;20.6;22.6
24.06.2019 22:00;18.6;20.5;22;21.2;19.2;23.6;19.3;24.1;20.2;22.2
24.06.2019 23:00;18;18.6;20.7;20.4;18.8;23.2;18;24.6;18.5;21.8
25.06.2019 00:00;17.3;18.3;19.8;19.5;18;22.6;18.2;23.5;18.9;20.7
25.06.2019 01:00;16.6;17.8;19.1;18.7;17.6;22.2;17.9;24.3;18.2;20.1
25.06.2019 02:00;16.3;17.2;18.4;18.7;17;21.8;16.8;22.9;17.2;20
25.06.2019 03:00;15.7;16.7;18;18.3;17.2;21.1;15.6;22.6;16.4;20.2
25.06.2019 04:00;15.5;16.5;17.4;17.9;16.6;20.7;15.7;22.5;17.2;19.7
25.06.2019 05:00;15.8;18.2;18.1;18.2;16.5;20.9;16.1;22.5;18;19.9
25.06.2019 06:00;18.6;20.3;19.9;20.7;19.4;21.4;18.4;22.3;20.1;22.1
25.06.2019 07:00;21.7;21.2;22.1;21.9;22.3;22.2;21.9;22.5;22;24.1
25.06.2019 08:00;23.8;22.5;24.1;23.2;23.6;22.5;24.3;24.7;23.6;25.2
25.06.2019 09:00;25.4;24.3;25.4;24.7;24.5;23;25;26.3;25.4;27
25.06.2019 10:00;27;26;26.6;25.6;25.4;23.6;26.4;28.4;27.9;28.3
25.06.2019 11:00;28.6;27.4;27.5;26.9;26.4;24.7;27.2;30.1;29.3;29.4
25.06.2019 12:00;29.6;28.4;28.7;28;27.8;25.7;27.7;31.5;31.4;30
25.06.2019 13:00;31.4;29.5;29.7;28.6;28.3;27.1;28.2;31.1;32.7;30.6
25.06.2019 14:00;32.8;30.6;30.3;29.7;28.3;28.1;28.7;30.4;34.2;31.4
